method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9993923996423191
varimax,wop,axis2,0.9932112571262531
varimax,wop,axis3,0.9839415822196559
varimax,matchalign,axis1,0.9999999549189211
varimax,matchalign,axis2,0.9997804024639282
varimax,matchalign,axis3,0.999173695618633
varimax,promax,axis1,0.9861767851841434
varimax,promax,axis2,0.9977009943091559
varimax,promax,axis3,0.9966545278709489
wop,matchalign,axis1,0.9993862833937892
wop,matchalign,axis2,0.9911097147481184
wop,matchalign,axis3,0.9770898423995282
wop,promax,axis1,0.9880124160171485
wop,promax,axis2,0.9888874200082968
wop,promax,axis3,0.9911363816012227
matchalign,promax,axis1,0.9861405930912476
matchalign,promax,axis2,0.9973356598025543
matchalign,promax,axis3,0.994392225976805
