,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_t_zerosum__[0, 641]",0.351544,0.15149,0.058948,0.627233,0.00038,0.00064,162049.938765,58799.931204,1.000227
"theta_t_zerosum__[0, 642]",-0.471279,0.269857,-0.991774,0.019303,0.000719,0.001079,146081.252151,58253.728132,1.00009
"theta_t_zerosum__[0, 643]",0.37581,0.351308,-0.307858,1.000589,0.001299,0.001852,85665.245586,48581.572091,1.000111
"theta_t_zerosum__[0, 644]",-0.283278,0.548932,-1.369823,0.668488,0.001971,0.00226,84551.658758,55127.13149,1.000065
"theta_t_zerosum__[0, 645]",0.693663,0.176471,0.36021,1.018127,0.000474,0.000732,149605.249285,58156.302054,1.000084
"theta_t_zerosum__[0, 646]",0.909295,0.149441,0.625708,1.184435,0.000421,0.000621,133360.718673,55805.138215,1.000081
"theta_t_zerosum__[0, 647]",-1.150931,0.126028,-1.38947,-0.917948,0.000375,0.000472,114846.327889,61651.622377,1.000154
"theta_t_zerosum__[0, 648]",-1.085016,0.1204,-1.314987,-0.864256,0.000355,0.000464,118257.857853,58904.199313,1.000103
"theta_t_zerosum__[0, 649]",-0.74201,0.062707,-0.856492,-0.621961,0.000233,0.000215,72699.639152,61568.756179,1.000144
"theta_t_zerosum__[0, 650]",-0.36153,0.058345,-0.471997,-0.252789,0.000205,0.000192,80905.875568,64584.573376,1.000022
"theta_t_zerosum__[0, 651]",-0.342156,0.070994,-0.477917,-0.210311,0.00022,0.000275,104249.157365,59401.407158,1.000093
"theta_t_zerosum__[0, 652]",0.044902,0.220967,-0.372011,0.455918,0.000592,0.000921,150829.694973,56938.756483,1.000124
"theta_t_zerosum__[0, 653]",0.003304,0.080291,-0.151855,0.150038,0.000223,0.000305,129788.015161,61181.097851,1.000048
"theta_t_zerosum__[0, 654]",0.029563,0.160572,-0.275251,0.325197,0.000421,0.000659,150113.557267,56856.861005,1.000122
"theta_t_zerosum__[0, 655]",0.320261,0.136768,0.060665,0.571574,0.000356,0.000556,151511.998002,58659.399377,1.000156
"theta_t_zerosum__[0, 656]",0.159792,0.26485,-0.350685,0.620077,0.001047,0.001436,76332.969367,48202.411454,1.000137
"theta_t_zerosum__[0, 657]",-0.832303,0.293708,-1.368749,-0.269205,0.000776,0.001351,152555.990277,54830.463518,1.000122
"theta_t_zerosum__[0, 658]",-0.486169,0.077529,-0.633195,-0.341964,0.000244,0.000296,101307.293099,57810.610794,1.000036
"theta_t_zerosum__[0, 659]",-0.448388,0.074779,-0.589612,-0.307834,0.000235,0.00029,101525.942974,57788.135696,1.000019
"theta_t_zerosum__[0, 660]",-0.443182,0.26738,-0.95409,0.049775,0.000703,0.001069,150993.804577,58954.526509,1.000061
"theta_t_zerosum__[0, 661]",-0.589045,0.3798,-1.332075,0.086213,0.001276,0.001811,98903.906038,54876.104667,1.00007
"theta_t_zerosum__[0, 662]",0.403366,0.256648,-0.074819,0.898817,0.000709,0.001245,136308.168838,56370.773733,1.000172
"theta_t_zerosum__[0, 663]",-1.758133,0.127535,-2.000776,-1.520055,0.000387,0.000492,108987.013892,60221.748019,0.999961
"theta_t_zerosum__[0, 664]",-1.378503,0.195491,-1.741747,-1.003584,0.000669,0.000873,88106.703959,51211.121482,1.000183
"theta_t_zerosum__[0, 665]",-2.040079,0.138216,-2.300412,-1.779942,0.000466,0.000528,89277.226595,57281.653253,1.000131
"theta_t_zerosum__[0, 666]",1.316504,0.071428,1.184022,1.45221,0.000267,0.00024,71520.582305,61435.87315,1.000017
