axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,SEAL Instruction Following,Advanced Language and Writing,2.5791684711327933,0.28626318020963515,15.484696616724003,3.049443797409385,0.7153492979192175
axis1,LAMBADA,General Reasoning,1.0479487192891255,0.2816214522777798,3.223381467703364,1.731158068039981,0.36644315549640516
axis1,TriviaQA,Domain Specific Questions,0.4807213351422031,0.06636729499765241,3.175011683732537,0.8528688915237223,0.3177036811241307
axis1,Lech Mazur Writing,Advanced Language and Writing,0.4563179267997238,0.1098027209924775,2.107537055971749,0.855793416354468,0.284313301942605
axis1,PIQA,General Reasoning,0.4465944770250748,0.1540004490249961,0.9015664089975518,0.9419846314646059,0.22477037036615713
axis1,HellaSwag,General Reasoning,0.43496001105167326,0.038360736794186195,1.035689058832579,0.9060396209813218,0.2304646300294121
axis1,MATH Level 5,High End Math Reasoning,0.3923549441687621,0.01737559602409044,0.7730354758251442,0.40288547326201307,0.9484076369447136
axis1,BoolQ,General Reasoning,0.24037784213304558,0.04241045536161589,0.7021854980103142,0.6718170563290927,0.12802265013497507
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.22807239492701759,0.0442678842457843,0.44204758356322815,0.3297220417618132,0.47846424051663367
axis1,SuperGLUE,General Reasoning,0.21525340249872071,0.03420249155505901,0.7507573339205476,0.4810330920120716,0.20023967969877315
axis1,WinoGrande,General Reasoning,0.20433501405966487,0.030935251572145172,0.46937557894887444,0.4260149309121869,0.23005726007577232
axis1,LiveBench,Core AGI Progress,0.20399991528144115,0.06750748542214922,0.36354572778162236,0.29673019114588606,0.47264656008315664
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,0.1982571626855378,0.004092638877583498,0.34455413931060835,0.20756192999305167,0.9123518826991635
axis1,MMLU Pro Biology,Biology,0.19685118576714028,0.022649575977174454,0.8588186045797681,0.5021372862512653,0.1536848749452881
axis1,GPQA Diamond,Domain Specific Questions,0.1931574885761348,0.017290907319405056,0.295191639892999,0.2236722612742089,0.7457595841348642
axis1,MMLU,Domain Specific Questions,0.19295543923813113,0.006366375250483893,0.608216793666309,0.40272263938478564,0.2295630371357826
axis1,GeoBench,Multimodal Understanding,0.1851695859408392,0.021698312575704207,0.7378189184518051,0.329291902505199,0.31621117090553924
axis1,MMLU-Pro,Domain Specific Questions,0.16337094913164596,0.028334874106892952,0.4327389664643338,0.30543534341303974,0.2860955379241689
axis1,GSM8K,Domain Specific Questions,0.14430718739762205,0.008029151942810158,0.7934055701683668,0.36485095021910385,0.15643897475304425
axis1,METR Time Horizons,Autonomous SWE,0.14045106338516522,0.044940900405239834,0.23595252181593265,0.22700710011564543,0.38279934117160624
axis1,SWE-Bench Verified,Autonomous SWE,0.13984250814478932,0.027823175655298012,0.26555428442840917,0.27356863122926256,0.2613038534491124
axis1,MMLU Biology,Biology,0.1350073562701056,0.016392892821351146,0.5522440113185839,0.3601955819307641,0.14048763538677062
axis1,ScienceQA,Domain Specific Questions,0.13280760162360605,0.018022743014432723,0.4987652866024417,0.31710217377568606,0.17540720536001364
axis1,Fiction.LiveBench,Advanced Language and Writing,0.13121593366539439,0.016607232275702464,0.2633907018190306,0.20809025771503625,0.39762131189431177
axis1,LAB-Bench SeqQA,Biology,0.12968082643780254,0.0228319508255802,0.31743194503817485,0.171687140587857,0.5705267396235939
