axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,LAB-Bench LitQA2,Biology,0.7613837653229039,0.5335343840536892,1.0078643129493103,0.7613837653229039,1.0
axis1,MultiChallenge,Advanced Language and Writing,0.7475706223301588,0.4575636722534487,1.0425185707543887,0.7475706223301588,1.0
axis1,SuperGLUE,General Reasoning,0.7330461525311196,0.08648565531755689,1.6248721228892877,0.7330461525311196,1.0
axis1,OS World (Screenshot),Agentic Computer Use,0.7022470966946595,0.06792892250294912,1.643635915277224,0.7022470966946595,1.0
axis1,EBR-bench,Agentic Computer Use,0.6847050628567498,0.054913518971331114,1.699690999870123,0.6847050628567498,1.0
axis1,Mystery Game Puzzles,General Reasoning,0.6839138810427643,0.35890875774581293,1.1143244092256812,0.6839138810427643,1.0
axis1,MMLU Biology,Biology,0.6484402234889912,0.4920060704917389,0.8184772622400239,0.6484402234889912,1.0
axis1,SciCode,Autonomous SWE,0.6426352086240328,0.5759975540165244,0.7143843180190433,0.6426352086240328,1.0
axis1,CL-Bench Life,Domain Specific Questions,0.6222145887120842,0.22748018713005955,1.0500406354904481,0.6222145887120842,1.0
axis1,CL-Bench,Domain Specific Questions,0.615860818521879,0.2813488489510547,0.930992054257755,0.615860818521879,1.0
axis1,WMDP Biology,Biology,0.5871336262080118,0.3265133533224859,0.854325154039301,0.5871336262080118,1.0
axis1,Lech Mazur Writing,Advanced Language and Writing,0.5863866816724199,0.30563847272057093,0.8706720427514638,0.5863866816724199,1.0
axis1,GeoBench,Multimodal Understanding,0.5813150993156315,0.1966701379111348,0.9871477583165528,0.5813150993156315,1.0
axis1,SEAL Instruction Following,Advanced Language and Writing,0.5771096290631753,0.2758712607249779,0.8958254968054592,0.5771096290631753,1.0
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.5234053690612025,0.420450384831996,0.6340922911524458,0.5234053690612025,1.0
axis1,MindCube,Multimodal Understanding,0.4920910938045053,0.027476281836911847,2.073225394265777,0.4920910938045053,1.0
axis1,TutorBench,Advanced Language and Writing,0.4748581923030226,0.30394784752745146,0.6516258197855592,0.4748581923030226,1.0
axis1,PRBench Finance,Domain Specific Questions,0.4507225491728287,0.19716836610573463,0.7107718713433506,0.4507225491728287,1.0
axis1,PRBench Legal,Domain Specific Questions,0.43804799954576745,0.1931033029445919,0.6910378232230283,0.43804799954576745,1.0
axis1,TriviaQA,Domain Specific Questions,0.3376694990000484,0.09087956848660125,0.6013951861388812,0.3376694990000484,1.0
axis1,DeepResearchBench,Agentic Computer Use,0.3315657695150635,0.09759160890970739,0.5695350328330885,0.3315657695150635,1.0
axis1,LAMBADA,General Reasoning,0.2950219428584886,0.047366382217555625,0.5716335406153659,0.2950219428584886,1.0
axis1,ForecastBench,General Reasoning,0.2947872563150783,0.2012893243542592,0.3922279681398001,0.2947872563150783,1.0
axis1,ScienceQA,Domain Specific Questions,0.2140491187858794,0.018150110495930526,0.5897029457718928,0.2140491187858794,1.0
axis1,Video-MME,Multimodal Understanding,0.07306359544867508,0.0034174531261851873,0.2981184072122322,0.07306359544867508,1.0
