name,mean,hdi_low,hdi_high,n_obs
Average Human,166.31876074660806,158.68137955298397,179.0423595951189,1
Skilled Generalist,177.449578803848,165.80103460304974,196.91523120912112,2
Committee of Domain Experts,194.81517598115707,178.52449009847956,222.25216413665316,1
Top Performer,200.6464396017014,184.57200351717023,228.0075276866699,2
