name,mean,hdi_low,hdi_high,n_obs
Average Human,1.9603316309605472,1.4662090554135132,2.480582894501053,1
Skilled Generalist,2.782363451472072,1.9752084209195795,3.9087421981152146,2
Committee of Domain Experts,4.128566632504298,2.9057548286052386,5.631300770446049,1
Top Performer,4.56779118571797,3.675593132688085,5.7309537040945875,2
