fit,verdict,dspread_max,logp_spread,eta_rhat,D_rhat,divergences,D_coverage
withSG_refit,ISLANDS,1.142339417286691,65.796744855827,1.1836592928451555,1.1839078275272241,644,
arm1_seed1001,AMBIGUOUS,0.1980577489924893,11.347650391997377,1.002852368853958,1.0069481195323586,0,0.8705882352941177
arm1_seed1002,ISLANDS,0.7678899482590074,81.27068246867157,1.1611474100617776,1.504999413448936,590,0.9411764705882353
arm2_basinA,ISLANDS,1.6479907126001176,60.762823978708184,1.2778579013391698,1.309136899386109,198,
arm2_basinB,AMBIGUOUS,0.10954345222045259,18.26437347966703,1.0047490490125872,1.0032645037041659,0,
