method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9995753799755147
varimax,wop,axis2,0.9861925851574945
varimax,wop,axis3,0.9567511435360243
varimax,matchalign,axis1,0.9999996118475404
varimax,matchalign,axis2,0.9999332616529268
varimax,matchalign,axis3,0.9999063493443209
varimax,promax,axis1,0.9950076821532062
varimax,promax,axis2,0.9965990421712728
varimax,promax,axis3,0.9935326396413836
wop,matchalign,axis1,0.9995858320672856
wop,matchalign,axis2,0.9878467992827271
wop,matchalign,axis3,0.9601783801658964
wop,promax,axis1,0.9926972742241883
wop,promax,axis2,0.9788269196062329
wop,promax,axis3,0.941371385582104
matchalign,promax,axis1,0.9949425196943699
matchalign,promax,axis2,0.9966175668409033
matchalign,promax,axis3,0.9937062293333164
