axis,benchmark,category,loading_median,hdi_low,hdi_high,sign_confident,method
axis1,ARC-AGI-2,,2.7469651297168776,2.1378048966509557,3.1653425491496123,True,varimax
axis1,OTIS Mock AIME 2024-2025,,2.0230437865397737,1.2994380168562532,2.4212537280856865,True,varimax
axis1,ARC-AGI,,1.970411897416426,1.5634053707344913,2.257579989317016,True,varimax
axis1,MATH Level 5,,1.8152608886263653,1.2014616904626525,2.131176541587768,True,varimax
axis1,FrontierMath Tier 4,,1.7179737455013964,1.2998604597882495,2.1058730932887686,True,varimax
axis1,Aider Polyglot,,1.637830975095409,1.2360627958511532,1.945301854585178,True,varimax
axis1,FrontierMath,,1.4298487572534602,1.135077406548114,1.6661534496004935,True,varimax
axis1,TerminalBench,,1.2769484508804452,0.9728389760357845,1.5454414341454221,True,varimax
axis1,Cybench,,1.257226423196204,0.7315621386075415,1.7145095901282204,True,varimax
axis1,EnigmaEval,,1.2497324714111588,0.9069022321854386,1.5476252939543447,True,varimax
axis1,The Agent Company,,1.242651964220565,0.5812370983603494,1.7437321939701007,True,varimax
axis1,Fiction.LiveBench,,1.2176849885644514,0.6260400810385435,1.8023222187480794,True,varimax
axis1,GSO-Bench,,1.2067023006140913,0.7049075311016123,1.5931285270328959,True,varimax
axis1,CAD-Eval,,1.1655958848943766,0.6280325689138773,1.5824126950111845,True,varimax
axis1,VisualToolBench,,1.1134848638977022,0.7566516195016076,1.4237496113790955,True,varimax
axis1,APEX Agents,,1.0524436006533358,0.7017203351585399,1.3495816002996028,True,varimax
axis1,MultiNRC,,1.0403239111513045,0.7978812134740478,1.2553991770893562,True,varimax
axis1,Humanity's Last Exam,,1.0336862595172127,0.811632221132534,1.2066008203995096,True,varimax
axis1,Chess Puzzles,,1.01319650535785,0.5526580939615213,1.4569154238115773,True,varimax
axis1,BioLP-bench,,0.9789771379699508,0.4974393760267776,1.3292858139400858,True,varimax
axis1,SimpleQA Verified,,0.959507080353188,0.5859760040358541,1.4119809696316996,True,varimax
axis1,WeirdML,,0.8602827216026274,0.7344367677145002,0.950538295291252,True,varimax
axis1,SWE-Bench Pro (Private),,0.8557795560310841,0.30748574122406797,1.2772869663594753,True,varimax
axis1,GPQA Diamond,,0.8313298429699929,0.5790907749426942,0.9689323918811226,True,varimax
axis1,LiveBench,,0.775562424939371,0.5641633446059221,0.9236552044471322,True,varimax
axis1,SimpleBench,,0.7710096328028004,0.588668243637949,0.9110186523793818,True,varimax
axis1,SWE-Bench Pro,,0.7178672532414007,0.38756738034855115,1.0022952239573308,True,varimax
axis1,METR Time Horizons,,0.6991598848392628,0.5062533376827588,0.8240771538409678,True,varimax
axis1,VPCT,,0.6792125269516456,0.40169412971190943,0.9481059585032309,True,varimax
axis1,PostTrainBench,,0.6360132333442821,0.3018754266095397,0.9902086240586612,True,varimax
axis1,BALROG,,0.6298622295336318,0.46750515898677675,0.7618759188810907,True,varimax
axis1,MCP Atlas,,0.5840161505233509,0.18876350616018173,0.9189119029560321,True,varimax
axis1,SWE-Bench Verified,,0.5718686745266093,0.33807731650370654,0.7868768282304015,True,varimax
