name,release_date,level_eci_median,lag_months_median,frac_undefined,frac_backcast,backcast,frac_censored,censored,first_leader_above,lag_hdi50_low,lag_hdi50_high,lag_hdi80_low,lag_hdi80_high
gpt-j-6b,2021-08-05,74.24527588392361,-4.106776180698944,0.0,0.48125,False,0.0,False,Gopher (280B) (52%); davinci (48%),-4.106776180698944,17.10581446712922,-4.106776180698944,21.06570088618464
LLaMA-65B,2023-02-24,104.99241297018938,11.367556468171642,0.0,0.0,False,0.0,False,text-davinci-002 (47%); Gopher (280B) (26%); Chinchilla (70B) (12%),10.907597535932837,14.554414784392975,10.710472279261012,14.554414784392975
Llama-2-70b-hf,2023-07-18,111.76961163723101,4.139630390143793,0.0,0.0,False,0.0,False,gpt-4-0314 (47%); Chinchilla (70B) (17%); PaLM 540B (17%),4.139630390143793,15.638603696097562,4.139630390143793,16.098562628336367
Yi-34B,2023-11-02,115.06788999756829,7.655030800821805,0.0,0.0,False,0.0,False,gpt-4-0314 (63%); PaLM 540B (11%); Chinchilla (70B) (10%),7.655030800821805,18.95687885010375,6.50513347022752,19.154004106775574
WizardLM-2-8x22B,2024-04-15,116.66929154378836,13.07597535934201,0.0,0.0,False,0.0,False,gpt-4-0314 (75%); PaLM 540B (7%); claude-1.3 (6%),13.07597535934201,13.07597535934201,11.926078028747725,24.377823408623954
Phi-3-small-8k-instruct,2024-04-23,117.89298458990417,13.338809034906262,0.0,0.0,False,0.0,False,gpt-4-0314 (57%); claude-1.3 (9%); gpt-4-turbo (6%),12.188911704311977,13.338809034906262,5.552361396302331,24.640657084188206
DeepSeek-V2,2024-05-07,122.07658261534625,12.648870636550782,0.0,0.0,False,0.0,False,gpt-4-0314 (36%); gpt-4-turbo (14%); claude-1.3 (12%),6.012320328541136,13.798767967145068,-4.2053388090362205,13.798767967145068
Llama-3.1-405B,2024-07-23,129.99911470630423,-1.6755646817255183,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_high (23%); o1-2024-12-17 (16%); gpt-4-turbo (13%),-1.6755646817255183,14.225872689939024,-4.435318275152895,14.225872689939024
DeepSeek-R1,2025-01-20,136.77539162152033,1.5112936344985428,0.0,0.0,False,0.0,False,o1-2024-12-17 (66%); o1-mini-2024-09-12_high (14%); o1-2024-12-17_high (8%),1.5112936344985428,4.271047227925919,1.5112936344985428,4.271047227925919
DeepSeek-R1-0528,2025-05-28,141.23234378160885,5.716632443532035,0.0,0.0,False,0.0,False,o1-2024-12-17 (51%); o1-2024-12-17_high (16%); gemini-2.5-pro-exp-03-25 (8%),3.843942505131963,5.716632443532035,2.102669404516746,5.716632443532035
DeepSeek-V3.2-Exp,2025-09-29,141.86117202872347,9.79055441478613,0.0,0.0,False,0.0,False,o1-2024-12-17 (43%); o1-2024-12-17_high (13%); gemini-2.5-pro-exp-03-25 (10%),7.129363449693301,9.79055441478613,5.453798767967783,9.79055441478613
kimi-k2-thinking,2025-11-06,143.9128071009672,8.377823408624863,0.0,0.0,False,0.0,False,o1-2024-12-17 (30%); o1-2024-12-17_high (11%); o3-2025-04-16_high (10%),6.702258726899345,11.039014373717691,6.702258726899345,11.039014373717691
deepseek-reasoner,2025-12-01,146.563642890917,7.523613963039679,0.0,0.0,False,0.0,False,o1-2024-12-17 (17%); o3-2025-04-16_high (15%); o3-2025-04-16 (14%),7.523613963039679,11.860369609858026,5.716632443532035,11.860369609858026
kimi-k2.5,2026-01-27,147.89257848203766,9.396303901437022,0.0,0.0,False,0.0,False,o3-2025-04-16_high (19%); o3-2025-04-16 (16%); o3-pro-2025-06-10_high (14%),8.213552361395159,10.11909650924008,7.589322381929378,13.733059548255369
glm-5,2026-02-11,151.97158306492844,8.082135523613033,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (27%); o3-2025-04-16_high (9%); o3-2025-04-16 (9%),6.17659137577084,9.889117043120677,2.9897330595467793,9.889117043120677
glm-5.1,2026-04-07,152.30462293063138,9.889117043120677,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (26%); gpt-5-2025-08-07_thinking (9%); o3-2025-04-16 (9%),7.983572895278485,11.696098562628322,4.796714579054424,11.696098562628322
kimi-k2.6,2026-04-20,153.23091766385494,10.316221765914634,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (24%); gpt-5-2025-08-07_thinking (11%); o3-2025-04-16 (8%),8.410677618072441,10.940451745380415,5.026694045176555,12.123203285422278
deepseek-v4-pro_high,2026-04-24,156.7395121588728,6.8008213552366215,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (16%); gemini-3-pro-preview (10%); gpt-5-2025-08-07_thinking (8%),4.402464065710774,10.44763860369676,2.5626283367555516,12.254620123204404
glm-5.2_max,2026-06-16,158.2682671566845,6.899383983573898,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (14%); gemini-3-pro-preview (10%); claude-opus-4-6_high (9%),5.946611909651438,10.283367556469784,4.303901437370769,12.188911704311977
kimi-k3_max,2026-07-16,162.59148865170167,5.289527720738079,0.0,0.0,False,0.0,False,claude-opus-4-6_high (24%); claude-opus-4-6 (15%); gpt-5.2-2025-12-11_xhigh (6%),5.289527720738079,7.885010266941208,4.8295687885020016,11.268993839837094
