country,variant,n_candidates,n_record_setters,record_setters,eci_slope_median,eci_slope_hdi_low,eci_slope_hdi_high,eci_slope_hdi95_low,eci_slope_hdi95_high,last_common_obs_date,gap_at_last_common_eci_median,gap_hdi_low,gap_hdi_high,gap_hdi95_low,gap_hdi95_high,lag_months_median,lag_hdi_low,lag_hdi_high,lag_hdi95_low,lag_hdi95_high,lag_nan_fraction
US,informed,288,27,gpt2-xl;davinci;text-davinci-002;PaLM 540B;gpt-4-0314;gpt-4-turbo;claude-3-opus-20240229;gpt-4o-2024-05-13;claude-3-5-sonnet-20240620;o1-mini-2024-09-12_medium;o1-preview-2024-09-12;o1-2024-12-17_unknown;o1-2024-12-17_medium;claude-3-7-sonnet-20250219_thinking;gemini-2.5-pro-exp-03-25;o3-2025-04-16_medium;o3-2025-04-16_high;o3-pro-2025-06-10_high;gpt-5-2025-08-07_high;gpt-5-pro-2025-10-06_unknown;claude-opus-4-6_unknown;claude-opus-4-6_high;gpt-5.4-pro-2026-03-05_xhigh;claude-mythos-preview-early;claude-mythos-preview;claude-mythos-5;gpt-5.6-sol_unknown,27.30263648220397,24.871831120795964,29.057409238495797,21.559995490445978,34.08307130362859,2026-07-09,20.697113299793187,18.51386138519436,22.271730862808226,15.436414703754929,26.619717477519824,,,,,,
CN,informed,78,19,Yi-34B-Chat;qwen2-72b-instruct;qwen2.5-32b-instruct;qwen2.5-72b-instruct;DeepSeek-V3;DeepSeek-R1;DeepSeek-R1-0528;qwen3-max-2025-09-23;DeepSeek-V3.2-Exp_thinking;deepseek-reasoner;glm-5;qwen3.6-plus;glm-5.1;qwen3.6-max-preview;kimi-k2.6;qwen3.7-max;glm-5.2_unknown;kimi-k3_max;kimi-k3_unknown,19.077018509432996,17.424427941231276,20.248267165585247,15.220139563335655,23.61158262115104,2026-07-09,20.697113299793187,18.51386138519436,22.271730862808226,15.436414703754929,26.619717477519824,13.01888339810342,11.943805326154404,13.959106860517865,10.165505165772872,16.113204073216007,0.0
US,sota_exempt,341,24,gpt2-xl;davinci;text-davinci-002;PaLM 540B;gpt-4-0314;gpt-4-turbo;claude-3-opus-20240229;gpt-4o-2024-05-13;claude-3-5-sonnet-20240620;o1-mini-2024-09-12_high;o1-2024-12-17_unknown;o1-2024-12-17;gemini-2.5-pro-exp-03-25;o3-2025-04-16_high;o3-pro-2025-06-10_medium;o3-pro-2025-06-10_high;gpt-5-pro-2025-10-06_unknown;claude-opus-4-6_unknown;claude-opus-4-6_high;gpt-5.4-pro-2026-03-05_xhigh;claude-mythos-preview-early;claude-mythos-preview;claude-mythos-5;gpt-5.6-sol_unknown,26.368372691249483,23.762467135412823,28.12364881975169,20.38071999740368,33.368420820910615,2026-07-09,20.42651180999431,18.06407483498703,21.85929963547204,15.199105176923723,26.424565776626604,,,,,,
CN,sota_exempt,78,19,Yi-34B-Chat;qwen2-72b-instruct;qwen2.5-32b-instruct;qwen2.5-72b-instruct;DeepSeek-V3;DeepSeek-R1;DeepSeek-R1-0528;qwen3-max-2025-09-23;DeepSeek-V3.2-Exp_thinking;deepseek-reasoner;glm-5;qwen3.6-plus;glm-5.1;qwen3.6-max-preview;kimi-k2.6;qwen3.7-max;glm-5.2_unknown;kimi-k3_max;kimi-k3_unknown,19.077018509432996,17.424427941231276,20.248267165585247,15.220139563335655,23.61158262115104,2026-07-09,20.42651180999431,18.06407483498703,21.85929963547204,15.199105176923723,26.424565776626604,12.85146419820354,11.668038528642533,13.721933868068483,9.968108260005557,16.01110744999459,0.0
