axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high,scope
Open-weights models · public benchmarks,Average Human,82.57937152882747,75.33348890065942,88.55085294927852,2022-01-21 05:46:00.822243339,2021-09-25 15:55:46.661622882,2022-08-29 23:08:04.868329790,1.0,1.0,passed_ci,2021-03-22 22:09:14.113303922,2023-01-10 05:06:59.230604946,public
Open-weights models · public benchmarks,Skilled Generalist,114.96852436673356,111.93891519511776,117.34501351986368,2024-01-04 09:59:41.574375530,2023-11-19 22:13:45.841607221,2024-04-11 10:59:58.568099622,1.0,1.0,passed_ci,2023-08-19 21:03:03.948990776,2024-05-21 23:51:49.666968832,public
Open-weights models · public benchmarks,Domain Expert,139.82029363462078,138.11045034995365,141.5972961341062,2025-07-03 06:47:13.057176603,2025-05-27 01:51:29.831239722,2025-08-15 18:19:29.420921386,1.0,1.0,passed_ci,2025-04-17 03:10:37.418813184,2025-09-26 20:11:08.230804128,public
Open-weights models · public benchmarks,High School Top Performer,163.372037528161,158.756400656954,168.93234491829202,2026-12-04 11:52:14.560386263,2026-06-19 09:46:50.441161298,2027-02-08 20:08:40.565925378,0.29725,1.0,future,2026-04-17 14:32:11.465530926,2027-07-14 04:09:18.627701443,public
Closed models · semi-private benchmarks,High School Qualifier,139.35643971914658,135.46097921950857,143.0453121051803,2025-03-06 09:37:13.220242057,2025-01-03 18:18:09.483792888,2025-04-24 19:06:32.096375130,0.99975,1.0,passed_ci,2024-11-11 12:05:09.371630575,2025-06-19 20:53:17.207195239,semi_private
Closed models · semi-private benchmarks,Committee of Domain Experts,147.5859992006782,145.64888023311283,150.09240755120243,2025-07-12 01:28:13.656365388,2025-06-02 11:28:03.076988093,2025-08-11 04:10:26.409669311,0.99975,1.0,passed_ci,2025-05-04 23:12:42.560067516,2025-09-17 12:03:32.789213706,semi_private
Closed models · semi-private benchmarks,High School Top Performer,155.1327550727131,150.4331137046257,161.00046503408916,2025-11-04 09:40:13.764539288,2025-07-18 11:24:22.098325996,2025-12-21 08:19:24.666382312,0.97775,1.0,passed_ci,2025-06-06 05:43:28.105285949,2026-03-23 21:08:03.942865792,semi_private
Closed models · semi-private benchmarks,Domain Expert,157.07957508714895,153.38915165538893,161.54898830006115,2025-11-29 04:02:21.291534706,2025-09-11 15:12:34.280021445,2026-01-06 16:43:54.194138158,0.98,1.0,passed_ci,2025-08-03 19:25:25.092053564,2026-03-28 19:24:47.024806622,semi_private
Open-weights models · semi-private benchmarks,High School Qualifier,139.35643971914658,135.46097921950857,143.0453121051803,2025-07-31 17:59:39.197631563,2025-05-17 14:27:25.483203743,2025-10-14 21:02:55.707017406,0.9905,1.0,passed_ci,2025-02-26 06:54:29.363450011,2025-12-23 22:40:20.716925424,semi_private
Open-weights models · semi-private benchmarks,Committee of Domain Experts,147.5859992006782,145.64888023311283,150.09240755120243,2026-01-19 13:31:32.175186988,2025-11-17 23:41:57.957642939,2026-02-19 19:55:56.324037259,0.9895,1.0,passed_ci,2025-10-21 14:11:35.933648421,2026-04-29 10:49:31.622569063,semi_private
