country,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,crossover_hdi95_low,crossover_hdi95_high,human_eci_median
US,Average Human,-2.3427181508368893,-2.4937500857694923,-2.191954726120957,2023-04-27 11:41:21.085469263,2023-03-08 03:21:35.698005319,2023-06-14 03:21:52.167379351,1.0,1.0,passed_ci,2022-11-30 12:52:31.670419477,2023-09-14 09:14:25.181166131,92.7520070328003
US,Skilled Generalist,-1.0021650757115674,-1.0678549936355946,-0.9389058804588741,2024-04-02 12:12:36.551146567,2024-03-12 04:36:42.401168982,2024-04-28 06:14:50.835641867,1.0,1.0,passed_ci,2024-01-23 14:16:46.567209835,2024-06-07 19:38:21.000854512,118.25024440880463
US,High School Qualifier,-0.008919029946567202,-0.18443687233555842,0.16960882377516234,2024-12-11 23:34:24.040579572,2024-10-30 11:05:29.112277905,2025-01-30 12:08:44.704067827,1.0,1.0,passed_ci,2024-07-18 14:48:59.451334813,2025-05-06 15:35:55.083711696,137.1623431546714
US,Domain Expert,0.40670035476667776,0.3362008932946294,0.4793003713851677,2025-03-27 14:56:59.781528617,2025-03-07 21:03:30.974103662,2025-04-14 01:43:37.755062195,1.0,1.0,passed_ci,2025-02-02 22:02:54.954909176,2025-05-23 04:01:10.289509910,145.07998755304996
US,Committee of Domain Experts,0.6443070077729685,0.5349659542318829,0.7541540648235416,2025-05-27 04:45:29.489150341,2025-04-27 08:03:29.932175689,2025-06-22 21:58:13.117159597,1.0,1.0,passed_ci,2025-03-03 03:01:34.526390508,2025-08-21 20:54:43.123682393,149.59515063332043
US,High School Top Performer,1.223130272421935,1.0512712978509702,1.4069279249511748,2025-10-21 10:54:31.529820571,2025-08-30 16:57:02.517236023,2025-11-29 19:33:14.301031478,0.999925,1.0,passed_ci,2025-06-17 06:39:16.000366394,2026-03-10 05:42:11.109260928,160.65996775678548
US,Top Performer,3.5051663918700644,3.210861418585174,3.822550774458814,2027-05-26 21:27:00.643290837,2027-02-19 07:11:58.595648049,2027-08-03 02:54:25.119118955,0.015275,1.0,future,2026-10-03 19:52:25.818666755,2028-02-16 11:39:24.318600315,204.25052972531412
CN,Average Human,-2.3427181508368893,-2.4937500857694923,-2.191954726120957,2023-01-09 11:33:51.448685932,2022-11-09 22:47:16.730227628,2023-03-18 01:19:16.244346846,1.0,1.0,passed_ci,2022-06-24 20:33:04.609941301,2023-07-10 09:06:28.758611652,92.7520070328003
CN,Skilled Generalist,-1.0021650757115674,-1.0678549936355946,-0.9389058804588741,2024-05-12 02:29:51.040907237,2024-04-16 04:29:32.260134932,2024-06-12 04:16:28.973437752,1.0,1.0,passed_ci,2024-02-16 00:22:01.309990002,2024-07-31 09:28:51.623743051,118.25024440880463
CN,High School Qualifier,-0.008919029946567202,-0.18443687233555842,0.16960882377516234,2025-05-09 12:00:47.801707286,2025-03-03 23:54:20.550760859,2025-07-11 19:34:19.243517848,0.9996375,1.0,passed_ci,2024-10-16 23:11:01.446144527,2025-12-04 06:16:02.975102195,137.1623431546714
CN,Domain Expert,0.40670035476667776,0.3362008932946294,0.4793003713851677,2025-10-08 05:12:49.052744565,2025-09-10 15:54:04.647493238,2025-11-02 10:58:28.938139354,1.0,1.0,passed_ci,2025-07-24 14:57:43.892257504,2025-12-26 16:18:04.137655472,145.07998755304996
CN,Committee of Domain Experts,0.6443070077729685,0.5349659542318829,0.7541540648235416,2026-01-03 05:07:01.169735977,2025-11-21 19:46:48.915790754,2026-02-10 02:47:37.832583373,0.9996375,1.0,passed_ci,2025-09-03 04:40:17.087435365,2026-05-05 14:15:18.984167199,149.59515063332043
CN,High School Top Performer,1.223130272421935,1.0512712978509702,1.4069279249511748,2026-08-02 00:57:29.877799481,2026-05-21 10:28:47.643865855,2026-09-29 02:24:37.515322376,0.6517875,1.0,passed_mean,2026-02-04 22:06:14.821800445,2027-02-20 16:57:31.814488661,160.65996775678548
CN,Top Performer,3.5051663918700644,3.210861418585174,3.822550774458814,2028-11-12 04:24:55.689651469,2028-06-29 21:51:22.893675713,2029-02-17 16:02:12.053835395,0.0005125,1.0,future,2027-12-10 09:39:25.951645932,2029-11-20 07:56:04.418452155,204.25052972531412
