scope,quantity,group,unit,median,frac_undefined,hdi50_low,hdi50_high,hdi80_low,hdi80_high
private,slope,closed,ECI-H per year,23.884590371756506,0.0,22.13240776934855,25.762947514768225,20.492662944162518,27.265496066689543
private,slope,open,ECI-H per year,19.532672043304697,0.0,18.09583139061749,21.032032040280253,16.783909346302682,22.248231052926805
private,gap_today,closed-open,ECI-H,14.754691540676987,0.0,12.057280953723229,17.433594660624145,9.525280763340444,19.854133566429063
private,lag_today,open,months,9.050079485724947,0.0,7.108042431820982,11.240784251023669,5.459861434608137,13.384268164375571
private,slope_diff,closed-open,ECI-H per year,4.384727250692311,0.0,2.162767070661128,6.618797578074218,0.022054302028465353,8.759376663141438
private,gap_last_record,closed-open,ECI-H,14.403323436092265,0.0,11.884035419875929,16.922011720994,9.507286288618035,19.204250907208
private,lag_last_record,open,months,8.837282453659547,0.0,7.0148089148598665,10.922772020197554,5.4426325892171095,12.929473274250409
private,envelope_lag_latest_record,open,months,5.749486652979613,0.0006249999999999867,3.679671457907716,15.901437371664542,2.135523613964324,16.6242299794676
private,envelope_lag_last_12m_mean,open,months,11.17864476386137,0.0,10.332648870637655,12.110882956879522,9.658726899385261,12.985626283368674
