model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
glm-4.6,axis1,6,False,False,False,True,False,2025-09-30 00:00:00,0.5861031531774015,0.6069133246909214,0.4380427321328738,False,False,False,,,,0.0341776207247562,0.2762830638735756,0.12370508798322702,
glm-4.6,axis2,6,False,False,False,True,False,2025-09-30 00:00:00,0.5497920843940713,0.5704856319552081,0.4010202303248283,False,False,False,,,,0.0341776207247562,0.2762830638735756,0.12370508798322702,
glm-4.6,axis3,6,False,False,False,True,False,2025-09-30 00:00:00,0.5947635000628642,0.6389760135809612,0.43614878501542176,False,False,False,,,,0.0341776207247562,0.2762830638735756,0.12370508798322702,
glm-4.6,axis4,6,False,False,False,True,False,2025-09-30 00:00:00,0.40814658667812415,0.4361756715618528,0.4553475325337613,False,False,False,,,,0.0341776207247562,0.2762830638735756,0.12370508798322702,
glm-4.7,axis1,14,False,False,False,True,True,2025-12-22 00:00:00,0.7774542129405614,0.8153299551846782,0.33490190788294016,False,False,False,,,,0.03106807255008938,0.24594753364599978,0.12631991908813633,
glm-4.7,axis2,14,False,False,False,True,True,2025-12-22 00:00:00,0.7619823046284977,0.8021785623386839,0.31609126323467446,False,False,False,,,,0.03106807255008938,0.24594753364599978,0.12631991908813633,
glm-4.7,axis3,14,False,False,False,True,True,2025-12-22 00:00:00,0.7113506467723222,0.7584910631943989,0.3308579357858486,False,False,False,,,,0.03106807255008938,0.24594753364599978,0.12631991908813633,
glm-4.7,axis4,14,False,False,False,True,True,2025-12-22 00:00:00,0.6090742607419024,0.6728659304722779,0.3786880184653174,False,False,False,,,,0.03106807255008938,0.24594753364599978,0.12631991908813633,
glm-4.7_high,axis1,1,False,False,True,True,True,2025-12-22 00:00:00,0.8111232229566948,0.819700382320302,0.37919728445509393,False,False,False,,,,0.043546839095907064,0.1616230439434578,0.26943459319539537,
glm-4.7_high,axis2,1,False,False,True,True,True,2025-12-22 00:00:00,0.7431567946891317,0.751255314697258,0.34985478805630216,False,False,False,,,,0.043546839095907064,0.1616230439434578,0.26943459319539537,
glm-4.7_high,axis3,1,False,False,True,True,True,2025-12-22 00:00:00,0.7661504011951146,0.7859267252113522,0.35405983909678634,False,False,False,,,,0.043546839095907064,0.1616230439434578,0.26943459319539537,
glm-4.7_high,axis4,1,False,False,True,True,True,2025-12-22 00:00:00,0.6494938337687861,0.6666398028251719,0.3772774301850678,False,False,False,,,,0.043546839095907064,0.1616230439434578,0.26943459319539537,
glm-5,axis1,14,False,False,False,True,True,2026-02-11 00:00:00,1.0427828329685571,1.064558940660759,0.3194719968353933,False,False,False,,,,0.04393290639137635,0.22930404889165207,0.19159237093164014,
glm-5,axis2,14,False,False,False,True,True,2026-02-11 00:00:00,0.838098858622836,0.8184396465381982,0.33205830392353336,False,False,False,,,,0.04393290639137635,0.22930404889165207,0.19159237093164014,
