bench,n,obs_min,obs_max,crossed,top_n,top_obs,top_pred,top_resid,t,n99,sigma_b
SEAL Tool Use (Enterprise),35,0.1742,0.7014,False,9,0.6644444444444445,0.6767510003169589,-0.012306555872514538,-1.4002443738572972,0,0.06370560751891456
SWE-Bench Pro,25,0.0151,0.615,False,7,0.5182714285714286,0.519819651117459,-0.0015482225460304072,-0.10147464164774438,0,0.08592583417213014
SWE-Bench Pro (Private),14,0.0362,0.515,False,4,0.46675,0.44936082455686066,0.017389175443139365,1.6708171316473541,0,0.03734213394971911
SWE-Bench Verified,33,0.3099173553719008,0.8347107438016529,False,9,0.7825775941230487,0.8003515601842258,-0.017773966061177243,-4.076749206623804,0,0.047426081884368684
SciCode,69,0.131944444444444,0.601851851851852,False,18,0.5506687242798353,0.5578511421479082,-0.007182417868072838,-1.471410864324507,0,0.03299377606514963
ScienceQA,24,0.3619,0.913,True,6,0.8246666666666668,0.7462747966394886,0.07839187002717819,2.948448823666221,0,0.1147195880176551
SimpleBench,91,0.107,0.837,False,23,0.6936086956521738,0.6912696718907493,0.0023390237614246676,0.29037019685415966,0,0.06316072789246688
SimpleQA Verified,65,0.059,0.773,False,17,0.6214392446408875,0.5873393211046347,0.03409992353625292,2.22328363142612,0,0.07833554396550968
TerminalBench,59,0.034,0.902,True,15,0.7060666666666665,0.6957059959028146,0.010360670763852112,0.6491273900260127,0,0.07133858510815691
The Agent Company,14,0.042,0.524,False,4,0.46675,0.4523351506317598,0.014414849368240279,0.29895513447657107,0,0.07493294395850897
TriviaQA,40,0.452,0.876,True,10,0.8230000000000001,0.8251047307244855,-0.002104730724485482,-0.13904517055400475,0,0.0769200423416897
TutorBench,27,0.3611999999999999,0.6855,False,7,0.5634258571428571,0.5681710900318915,-0.004745232889034342,-0.24774797297085743,0,0.03696229901511784
VPCT,38,0.3,0.91,True,11,0.6279090909090909,0.6240329841583647,0.00387610675072631,0.29429089207593767,0,0.05671330643947723
Video-MME,50,0.379,0.797,False,13,0.7037692307692308,0.6687138640400699,0.03505536672916087,2.6690131781734445,0,0.07208498924675513
Visual Task Assessment (VISTA),63,0.1518,0.554,False,17,0.502070588235294,0.5164621276305082,-0.01439153939521405,-1.4837575585650054,0,0.04443622296070118
VisualToolBench,20,0.0141,0.4477,False,5,0.31456000000000006,0.30711515192057615,0.007444848079423883,0.4518625501622105,0,0.04714284501701724
WMDP Biology,34,0.524,0.875,True,9,0.8635555555555556,0.8700860926736796,-0.006530537118124087,-1.9453762634647713,0,0.029540617783461412
WMDP Chemistry,37,0.243,0.809,False,10,0.7521000000000001,0.7541178328761631,-0.0020178328761629727,-0.28554759693263726,0,0.0357252487480315
WeirdML,143,0.0173,0.8876000000000001,True,36,0.6973083333333334,0.6948635698389675,0.002444763494365895,0.21251527558704236,0,0.06661111773158317
WinoGrande,81,0.515,0.94,True,21,0.8371904761904764,0.83050523133687,0.006685244853606157,1.2422609263494813,0,0.04170752528833377
