axis,tau_median,tau_hdi_low,tau_hdi_high,gap_ratio_to_next
axis1,0.8427736613776041,0.7492157656908368,0.9503434978161026,1.0
axis2,0.8427736613776041,0.7492157656908368,0.9503434978161026,1.0
axis3,0.8427736613776041,0.7492157656908368,0.9503434978161026,
