name,mean,hdi_low,hdi_high
ForecastBench,0.09978026747626159,0.07529538765872132,0.126793700893682
Video-MME,0.1953155000324322,0.08635593423929878,0.3526671566143732
ScienceQA,0.30871293075758804,0.13277018574070215,0.5942328933289102
DeepResearchBench,0.37158901947865086,0.20448022251034456,0.5647824516349013
LAMBADA,0.39987659395460234,0.1959281466259421,0.65795034164955
TriviaQA,0.40345852910116153,0.20863649380051608,0.6457841654189923
SpatialViz-Bench,0.4138883260977453,0.18325286110941996,0.7805707508079162
PRBench Legal,0.4436070612879991,0.26444052686277003,0.6491761390056241
PRBench Finance,0.4511563024135232,0.26455062322899836,0.6740579454303177
TutorBench,0.45282195785194784,0.3183565633542135,0.600098814272818
LAB-Bench LitQA2,0.4789840173343735,0.34426395237257423,0.6163937479698719
Visual Task Assessment (VISTA),0.5023573301844891,0.40637391407737605,0.6042041706001628
MMLU Biology,0.5230035538769966,0.4023929315515754,0.6558059994509634
WMDP Biology,0.5607147053566934,0.33573454364428484,0.8000885027252311
Lech Mazur Writing,0.5884180914925494,0.3553555088748556,0.8401362656475336
GeoBench,0.5943528145474979,0.300661081058456,0.9392901388738162
SciCode,0.6005289105278114,0.5434126612759531,0.6612277520530081
CL-Bench,0.6093093518853516,0.3508466405133626,0.8568952011756104
SEAL Instruction Following,0.6172139514829866,0.37227698020637773,0.8879443314470588
CL-Bench Life,0.6299656132115106,0.33229294696328787,0.9526729696186065
Mystery Game Puzzles,0.6669238971134837,0.38736002082695487,1.035020634137545
OS World (Screenshot),0.6703655253362955,0.23681280541246935,1.4418819623704608
EBR-bench,0.6892640633582152,0.23729523354184764,1.4746527679787007
MultiChallenge,0.7039186105037222,0.4680131064967374,0.9506865620637323
WMDP Chemistry,0.7345348112805763,0.538515331577394,0.935397477289251
BoolQ,0.7676602493244358,0.6420665232734799,0.9009164525029297
GPQA Diamond Biology,0.7705133979553964,0.4872249889515724,1.0718231216154552
SimpleQA Verified,0.8019323445471783,0.6169390353034555,1.004586217041534
SuperGLUE,0.8203514294772458,0.3357660181037855,1.3587874511370648
GDPval,0.8245999472806996,0.3261799175816348,1.4940932949926233
MMLU Chemistry,0.8299904719205151,0.7079705800154811,0.9669809400771788
CSQA2,0.8342904050332209,0.3343790059858867,1.6546083868984276
AudioMultiChallenge,0.8633185131484475,0.6235786765000474,1.1054491624083542
FrontierCode,0.9124381013467293,0.5712835918710056,1.3014254428321625
GDP.pdf,0.9193583199625,0.5458450356619315,1.296607278468333
GPQA Main Biology,0.9333032624070863,0.6674643577157181,1.2026125555267302
BALROG,0.9368846366910182,0.77839453622617,1.106007836011582
LAB-Bench SeqQA,0.9444868990322242,0.7876575014475024,1.1103336210678398
OS World 2,0.9726266720381309,0.3622283397842366,1.7879154561160384
METR Time Horizons,0.9753146054513633,0.8821896820723857,1.0750019161038091
MMLU-Pro,0.9757409446245311,0.8307731154072124,1.1238974846562892
SWE-Bench Verified,0.9772178373947524,0.7220703168104827,1.2325650462226416
LAB-Bench Protocol,0.9787663780444291,0.8172661324917601,1.1518805344954328
CursorBench,1.008396360613361,0.7771449658521863,1.2340106566990585
SEAL Tool Use (Enterprise),1.0220298053059609,0.7707605792292763,1.2812546128319822
MMLU,1.0710067029820776,0.9775121782902558,1.1690423235398237
Remote Labor Index,1.0816662776756334,0.4044393659347303,1.798554390807527
GPQA Main Chemistry,1.0966018850195414,0.9319947401601881,1.26086972384166
LAB-Bench Cloning,1.0987562961475539,0.8740689828094813,1.3264151078152444
PostTrainBench,1.1343839673439189,0.8623324284841356,1.4217414034479616
ARC (AI2),1.1547055809121898,0.9266787706430353,1.3992242254173008
GPQA Diamond Chemistry,1.1581651676841047,0.9562570569096521,1.3645750500260572
GBAEval,1.1743628404390463,0.38636722377548455,2.447356033923541
SWE-Bench Pro,1.211568922342547,0.8999069682193784,1.5442526441046525
Adversarial NLI,1.2157487536587706,0.33069286319224955,2.159853063350859
MMLU Pro Biology,1.2220208001395532,0.9798714437167593,1.468597210059685
MCP Atlas,1.2343441612760184,0.8425871031429668,1.6111384275779057
BIG-Bench Hard (BBH),1.2743343372581042,1.0423777584584482,1.499290255029125
Chess Puzzles,1.3242960080295836,1.1006432853410864,1.548058479894176
BlueprintBench 2,1.3363512102566446,0.6255546629408049,2.1318385070789607
GPQA Diamond,1.4300333741407645,1.3506679843528575,1.5163507203127375
WeirdML,1.438838260128569,1.325964408046999,1.553177208145143
LiveBench,1.4643752608110312,1.2707252247800775,1.6556848825963886
CAD-Eval,1.4777420806350205,0.8787747433532984,2.078391333690586
ExploitBench,1.5345415163718734,1.033144477727806,2.075644038229561
APEX Agents,1.5750701214895408,1.3277298709649235,1.8295910962258617
MultiNRC,1.6166200879642076,1.4006692204056972,1.8306049392826247
SWE-Bench Pro (Private),1.6512650433648166,1.1345177269130025,2.153543261372739
Humanity's Last Exam,1.7208222834732974,1.4999486768251997,1.9409696331395163
MMLU Pro Chemistry,1.8252889620271,1.5960221002156807,2.072270126522122
EnigmaEval,1.9036044930284486,1.640626886201071,2.1689431596479154
GSO-Bench,2.0200404075077563,1.5981720620630866,2.4193714692911357
DeepSWE,2.0212265625906856,1.5206727629883094,2.5014464376489833
BioLP-bench,2.024094282046827,1.641314536239295,2.4057305215026346
TerminalBench,2.0701541882244623,1.7174293489870134,2.4345271226273923
Surface Evolver Bench,2.0770416537494047,1.5578437583173492,2.6003961406362763
The Agent Company,2.184619219775856,1.2782724184702021,3.0535407106796595
Aider Polyglot,2.208999849216908,1.7720223394483368,2.6467119414585345
VisualToolBench,2.2268567903545087,1.8574665152405485,2.5654418830299446
ProofBench,2.260478580903343,1.755420849893162,2.768868107372521
GSM8K,2.298079643493515,1.905037821419001,2.7001235659930978
CritPt,2.299466808207482,2.053710346291174,2.549574964014914
Fiction.LiveBench,2.317160387720247,1.1395431521175459,3.3988198822347915
FrontierMath,2.3208293997795497,2.058693228123419,2.594037723798619
Cybench,2.5316946643640605,1.9516998013326694,3.10209809050125
OTIS Mock AIME 2024-2025,2.945390679010797,2.719637608250623,3.192710764670914
MATH Level 5,3.044496651890564,2.771766342360808,3.328769713315854
FrontierMath Tier 4,3.640972355416067,3.144661685904224,4.144040149569142
