model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
qwen3.8-max_xhigh,2026-08-02,1.3826228035725125,1.2599087179579433,1.514680097230987,162.6470225430275,157.5149770346604,169.64409887628713
claude-opus-5,2026-07-24,1.4684249121396418,1.2253364801560638,1.7566038442120204,164.6200389370818,157.51279874841265,174.12915144981207
claude-opus-5_max,2026-07-24,1.7100818923753534,1.587896047182087,1.8386365891182774,169.99424127547164,163.80814172597323,178.31892928455105
kimi-k3_unknown,2026-07-16,1.6570486028945393,1.464626135623609,1.8587624949937305,168.86232788808206,162.1800912340926,177.55841449426677
gpt-5.6-sol_max,2026-07-09,1.7603085409794215,1.6403492843679675,1.8878803435423785,171.14495364148803,164.85859626362048,179.54615051787073
grok-4.5_high,2026-07-08,1.1516768349069524,1.046725536573322,1.2666462149534323,157.44960126330636,153.25392837013717,163.1766346842114
claude-sonnet-5_unknown,2026-06-30,1.3696262315787775,1.1144258419419903,1.6158187285121712,162.2336084443273,155.46132784446,170.98441172145962
glm-5.2_unknown,2026-06-16,1.2635750688034881,0.911209350153071,1.590567441321478,159.90954483965334,151.21295010087383,169.7134006444733
claude-fable-5_max,2026-06-09,1.8069590650226814,1.6794854467273346,1.9363916734128126,172.21565943521182,165.72716100734326,180.92192316449658
claude-fable-5,2026-06-09,1.7312123543760602,1.389820294145061,2.0940113903319206,170.55205711184223,161.31968569540086,182.21152134899873
claude-fable-5_unknown,2026-06-09,1.9912817494353612,1.640786209683669,2.413845141070278,176.327980827879,166.2763887451172,190.1110076631902
claude-fable-5_high,2026-06-09,1.7225931014695166,1.5523190426027045,1.8955356872828795,170.2382314810784,163.76036427182277,179.04167628613592
MiniMax-M3,2026-06-01,0.6763051206750765,0.4240689528553429,0.8893774273700218,146.6667107231077,140.7447658949936,152.6551214617051
claude-opus-4-8_unknown,2026-05-28,1.4582209621659996,1.1457577095496299,1.7376594622750678,164.31120301816782,156.21325535092993,173.59474950396896
deepseek-v4-pro_max,2026-04-24,0.8389689786814598,0.730706790084898,0.9459582981934357,150.402192123877,146.89577062545573,154.68030967161576
gpt-5.5-codex,2026-04-23,1.1269108876340304,-0.5778470431133306,1.9067439419460481,156.75146906476937,118.12746851064556,175.99310041570453
gpt-5.5-pro_xhigh,2026-04-23,1.739919096971069,1.599090167698243,1.8996344844669344,170.70964249198056,164.33368613222473,179.51190063061017
gpt-5.5_xhigh,2026-04-23,1.5976696882042023,1.4858532352019609,1.7151315762846857,167.51097466908993,161.83763761515817,175.03516294553194
gpt-5.4-2026-03-05_xhigh,2026-03-05,1.3670880031653927,1.2725001131361202,1.4600362485491731,162.2402289613155,157.44466538968544,168.7448104195442
gpt-5.4-pro-2026-03-05_unknown,2026-03-05,1.3698015153167429,1.2170098892435792,1.524922815820368,162.3335021871112,156.87549679975214,169.6051621394246
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.576198068582881,1.4461857057182437,1.72016115381632,167.0655084670742,161.30693665594595,174.87704342026205
gemini-3.1-pro-preview,2026-02-19,1.2286973124461213,1.1451238529903784,1.3139831280874361,159.17498619347487,154.87864769619978,164.99872016334677
claude-opus-4-6,2026-02-05,0.9325676624298946,0.7819819340854474,1.0761655472373977,152.50130217069227,148.09218988667953,157.71514412471188
claude-opus-4-6_high,2026-02-05,1.362499713522321,1.162864552055799,1.5609643037621395,162.09454704759443,156.0205619331841,169.84363468495252
mistral-large-2512,2025-12-02,0.032742794339595205,-0.42635043056144534,0.4108859406431106,132.25682796385897,121.68465437180394,141.13318645291602
