model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,gpt-6-astra,2026-09-03,1.5751781524060098,1.0824606599797655,2.2551474897307013,170.9168538796996,156.98740990560134,194.9016197099062
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,2.08813647329115,1.3076452286747706,2.9093976432664386,182.96524610373748,162.43193408461033,213.47482672833928
gemini-3.7-flash_high,gemini-3.7-flash,2026-08-13,1.3023390087869537,0.9447602509329256,1.7777590919596347,164.42384987271637,153.22729708517187,182.6268433423573
gemini-3.6-flash_high,gemini-3.6-flash,2026-07-21,1.2729839436087016,0.8417224379027155,1.8565565090752847,163.66129617444716,151.47008076343062,183.53736865342606
gpt-5.6-sol_unknown,gpt-5.6-sol,2026-07-09,2.2915200513164464,1.7360469271809382,2.842493696410565,187.703958929183,169.84098080028048,215.21564840051872
claude-fable-5_unknown,claude-fable-5,2026-06-09,1.7911887161361544,0.2185464997598179,2.9523963974924867,175.52210788813065,138.544291519514,212.5448612681115
claude-mythos-5,claude-mythos-5,2026-06-09,2.3978334641238535,1.7275944862743489,2.986873350060608,189.92925213019117,170.4830628993407,219.23866381767243
gemini-3.5-flash_high,gemini-3.5-flash,2026-05-19,1.2388726612777834,0.7869270346111454,1.871286283975964,162.90870054668457,150.31796335055373,184.42774803907614
claude-mythos-preview,claude-mythos-preview,2026-04-07,2.4273363906557464,2.0149728996809046,2.931780685700703,191.04890836165785,173.96170053402685,219.37032031502878
claude-mythos-preview-early,claude-mythos-preview-early,2026-04-06,2.4535860514035326,1.5040882122366042,3.104356923807896,190.87741160726088,166.36661403546628,222.77289749980912
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.2732604014860656,0.8491143248613368,1.8476788128532553,163.7992798162431,151.81347062485494,183.20887477654935
gemini-3.1-pro-preview_high,gemini-3.1-pro-preview,2026-02-19,1.2354735196229896,0.89849770341477,1.652639225091122,162.76543251687326,152.33484241491288,179.53055611449562
claude-opus-4-6_high,claude-opus-4-6,2026-02-05,1.4636956319224568,1.1094654991898267,1.8305164909591511,167.99749823958814,156.42219808369305,186.51954584924596
gpt-5.3-codex,gpt-5.3-codex,2026-02-05,1.1848484359178797,0.8201416794898486,1.6284631825424922,161.5367024871217,150.9843515775358,177.9427870490784
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.9233522529228313,0.5367766218191355,1.4170209997991114,155.2731022934241,145.06034261244247,171.52754291978113
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,1.0601595010258487,0.9124119551416077,1.2178843306935088,158.55221990528761,151.25406124481216,170.19397018669892
gpt-5-2025-08-07_thinking,gpt-5@2025-08-07,2025-08-07,0.8474035963639527,0.5198426219494032,1.1364020172439224,153.4256523036197,144.75562884169298,165.12990703260928
o3-pro-2025-06-10_high,o3-pro@2025-06-10,2025-06-10,0.8110907237015773,0.5478925363386609,1.100642391714329,152.66583036957923,145.1506027400855,163.8202438684082
o3-2025-04-16_high,o3@2025-04-16,2025-04-16,0.6248478366353005,0.4484790142878034,0.8055002129489294,148.2267435473778,142.7582820326091,156.42015340976363
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,0.4687605553074065,0.2761554214868672,0.6899346392809044,144.47338854548718,139.1347521963562,151.9396178623124
claude-3-7-sonnet-20250219_64K,claude-3-7-sonnet@2025-02-19,2025-02-24,0.3279399530125644,0.06825088668954667,0.6569889758025867,141.15829934554404,134.54237057922646,150.4225688123255
o1-2024-12-17,o1@2024-12-17,2024-12-05,0.3416066527194351,0.0323172853061292,0.7429049761156049,141.42832300633137,133.86867296881127,152.6550841266029
o1-preview-2024-09-12,o1-preview@2024-09-12,2024-09-12,-0.04477835942706396,-0.16398924040284807,0.0801300758619836,132.32141396058836,128.63340571448146,135.90009240918562
o1-mini-2024-09-12_high,o1-mini@2024-09-12,2024-09-12,0.020173677311694005,-0.19081770272127851,0.2614990956836816,133.84367290785934,128.06729953964182,140.09178733221134
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-0.3040169799417957,-0.4155656450782812,-0.19013515583962157,126.16946502879799,121.00616377721248,129.7340178574204
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-0.31159062990143516,-0.41827524676089867,-0.20844907324250156,125.97246390707151,121.06097025694072,129.32399007388798
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-0.47604059928823306,-0.5805550469815796,-0.37610994218275273,122.07339986169939,115.66656407083295,126.09302898854514
gpt-4-turbo,gpt-4-turbo,2023-11-06,-0.3307865063747503,-0.6813611580562371,0.0469219935650763,125.54476501343368,115.1725351613099,134.6441948128342
gpt-4-0314,gpt-4-0314,2023-03-14,-0.5442540486420004,-0.7660250851626841,-0.3136483859050962,120.49902880311939,111.55400434282525,126.69405555118286
PaLM 540B,PaLM 540B,2022-04-04,-0.9922923578390237,-1.2848547502226868,-0.6721603760343455,109.91633123224959,96.32721130647923,119.17722720214863
text-davinci-002,text-davinci-002,2022-03-15,-1.1120873789568466,-1.3036580909605577,-0.9227219024544281,106.9438310035935,93.92226454845546,114.8379423740264
davinci,davinci,2020-06-11,-2.508120015385996,-3.029080393338084,-2.0865167873908685,73.76004325507856,44.0690594633232,91.11526462470934
gpt2-xl,gpt2-xl,2019-11-05,-3.0675376945114827,-3.7463441597514793,-2.502508837151873,60.34181741487435,24.17828587914447,81.94052188347987
