axis,benchmark,category,loading_median,hdi_low,hdi_high,sign_confident,method
axis1,ARC-AGI-2,,2.6216240972789784,2.104936277619758,3.1441679591422114,True,varimax
axis1,OTIS Mock AIME 2024-2025,,2.1312774980343523,1.3231511058754033,2.4152451777534143,True,varimax
axis1,MATH Level 5,,1.8890609013062862,1.2221783150572934,2.137898847855215,True,varimax
axis1,ARC-AGI,,1.8741050285382854,1.5299951915757906,2.202509051649385,True,varimax
axis1,FrontierMath Tier 4,,1.6413810827267916,1.2576724277070623,1.9824771555722709,True,varimax
axis1,Aider Polyglot,,1.517568628391591,1.2078119411553574,1.8988226964284627,True,varimax
axis1,CritPt,,1.439824121071693,1.1406618327673856,1.7317628681295487,True,varimax
axis1,FrontierMath,,1.385949756760243,1.1212219212301195,1.58449451549329,True,varimax
axis1,Fiction.LiveBench,,1.263474289607831,0.6897697054203406,1.818861399574717,True,varimax
axis1,TerminalBench,,1.2568819457314913,0.9915094445239109,1.5002192906688878,True,varimax
axis1,GSO-Bench,,1.2105824223980508,0.7530913808033068,1.5935754393205994,True,varimax
axis1,EnigmaEval,,1.1982366993263864,0.8783726808540496,1.495474636239509,True,varimax
axis1,Cybench,,1.1822321421012212,0.7015623566579515,1.6216372648868147,True,varimax
axis1,The Agent Company,,1.1235981064228606,0.5415445679647334,1.6220041660731812,True,varimax
axis1,VisualToolBench,,1.084948743664797,0.7189627546975739,1.3759367224540382,True,varimax
axis1,Chess Puzzles,,1.081155893416665,0.6193947338647182,1.5024143330582638,True,varimax
axis1,CAD-Eval,,1.0618476025076622,0.6271328861206161,1.5358447499072043,True,varimax
axis1,BioLP-bench,,1.023269437355044,0.5709237128550864,1.3595158033111527,True,varimax
axis1,Humanity's Last Exam,,1.0205995969284125,0.8090820833696424,1.1806262552542675,True,varimax
axis1,MultiNRC,,0.9932677359992086,0.7912946383315848,1.1828032636173471,True,varimax
axis1,APEX Agents,,0.9751435122243275,0.5818515499483903,1.3230267361023726,True,varimax
axis1,SimpleQA Verified,,0.8980584287067721,0.589238897790783,1.2492988426259313,True,varimax
axis1,GPQA Diamond,,0.8779600610896399,0.6014065151771301,0.9767259144268029,True,varimax
axis1,WeirdML,,0.8538815827118835,0.7477610065783628,0.9430639221913959,True,varimax
axis1,CursorBench,,0.8476702397566567,0.6151354245902279,1.0620588744960604,True,varimax
axis1,LiveBench,,0.7704310340377301,0.5458666461218945,0.9501250532904073,True,varimax
axis1,SWE-Bench Pro (Private),,0.7669558828440863,0.2728045845784533,1.2607771236516132,True,varimax
axis1,SimpleBench,,0.7479004280291931,0.5963360409371701,0.9155096369444352,True,varimax
axis1,GPQA Diamond Chemistry,,0.6955615332751848,0.12675550415037198,0.9771550973275415,True,varimax
axis1,SWE-Bench Pro,,0.6743142005770701,0.3622877622682818,0.9715723141676232,True,varimax
axis1,VPCT,,0.6734149657490699,0.38979603560925913,0.926490529334728,True,varimax
axis1,GPQA Main Chemistry,,0.6492652631290772,0.1674322340949834,0.8389041716248591,True,varimax
axis1,PostTrainBench,,0.6419156002926002,0.3536879772523901,0.8953875519030788,True,varimax
axis1,METR Time Horizons,,0.6337750413592875,0.4826475558025377,0.765560555152266,True,varimax
axis1,BALROG,,0.6040232832284518,0.45506644186460715,0.7398014560031095,True,varimax
axis1,MMLU Pro Chemistry,,0.5722783092475705,0.10615472428049663,1.050201068117057,True,varimax
axis1,SWE-Bench Verified,,0.5664082503365995,0.3492430867219486,0.7716092728660467,True,varimax
axis1,LAB-Bench SeqQA,,0.5180474639917549,0.20835403283110518,0.6816801205750402,True,varimax
axis1,MCP Atlas,,0.5099869804929581,0.14407691827657873,0.8687295795280202,True,varimax
axis1,SEAL Tool Use (Enterprise),,0.48916169065960813,0.2539702976469432,0.7682471440196075,True,varimax
axis1,OS World 2,,0.4840297579120175,-0.32424485951079207,1.1429437205335617,False,varimax
axis1,GPQA Main Biology,,0.48006152960954857,0.11335717639955069,0.7418737706625385,True,varimax
axis1,ExploitBench,,0.47392912948295596,-0.1841688316097793,1.042470487222247,False,varimax
axis1,SciCode,,0.4293228893536184,0.35647892816390336,0.500310666425914,True,varimax
axis1,MMLU Chemistry,,0.42631544668606614,-0.03339018643952975,0.5759460647401118,False,varimax
axis1,OS World (Screenshot),,0.423799911144116,-0.5555603820991535,1.3801689583767802,False,varimax
axis1,SEAL Instruction Following,,0.39775847191008934,0.11739951410843946,0.6393566173039423,True,varimax
axis1,MultiChallenge,,0.38826847630470684,0.16848863750942625,0.6116883919721381,True,varimax
