kind,name,keep,drop,delta,sd,z,n_obs,vs
D,APEX Agents,3.94230529323309,3.7703026051080775,-0.1720026881250125,0.2740584608367182,-0.6276131289648099,50,keepA_vs_dropA
D,ARC (AI2),-0.6543628198394793,-0.663571542098776,-0.0092087222592966,0.1287407787433293,-0.0715291794036459,77,keepA_vs_dropA
D,ARC-AGI,3.310873220763554,3.1550315012630237,-0.1558417195005303,0.2550604538209265,-0.6109991461473057,161,keepA_vs_dropA
D,ARC-AGI-2,7.346812794486489,7.083278093951341,-0.263534700535148,0.3761966888008917,-0.7005237110809025,154,keepA_vs_dropA
D,Adversarial NLI,1.510699216492121,1.4579295873722589,-0.0527696291198618,0.2973366107963473,-0.1774743748458374,12,keepA_vs_dropA
D,Aider Polyglot,1.533927593298733,1.501496478862877,-0.032431114435856,0.2200630371320727,-0.1473719296911829,70,keepA_vs_dropA
D,AlgoTune,0.8776463297382953,0.8583872718556314,-0.0192590578826639,0.1509251305757332,-0.1276067001512371,18,keepA_vs_dropA
D,AudioMultiChallenge,1.068832081306926,1.079644795564909,0.0108127142579832,0.1275213821117898,0.0847913822679904,24,keepA_vs_dropA
D,BALROG,1.1707721249666097,1.2584801549202176,0.0877080299536079,0.1238584470761517,0.7081311935041664,35,keepA_vs_dropA
D,BIG-Bench Hard (BBH),0.1246376806330125,0.1141591419495032,-0.0104785386835092,0.1204474786678272,-0.0869967457966241,52,keepA_vs_dropA
D,BioLP-bench,2.1211855595933327,2.171827971838236,0.0506424122449034,0.2249063774947037,0.2251710814474168,32,keepA_vs_dropA
D,BlueprintBench 2,4.630401068495598,4.7175361214840486,0.0871350529884509,0.7913757807655121,0.1101057867909018,17,keepA_vs_dropA
D,BoolQ,-0.8692429778626306,-0.8754514597288517,-0.0062084818662211,0.0878161940617036,-0.0706985987329259,78,keepA_vs_dropA
D,CAD-Eval,0.9228273689892452,0.8360487680436927,-0.0867786009455525,0.2422321190443727,-0.35824564177493,15,keepA_vs_dropA
D,CL-Bench,2.2145179024110857,2.2391263004247923,0.0246083980137066,0.1825399972814815,0.1348109914549841,22,keepA_vs_dropA
D,CL-Bench Life,2.840349640056517,2.891677330763283,0.0513276907067661,0.2802295346202409,0.1831630301792562,17,keepA_vs_dropA
D,CSQA2,2.450384353861807,2.4139289910038726,-0.0364553628579344,0.4858565401904857,-0.0750331833418188,8,keepA_vs_dropA
D,Chess Puzzles,3.6476758314670774,3.7265268373312033,0.0788510058641258,0.3348032721086748,0.2355144421603244,85,keepA_vs_dropA
D,CritPt,6.08162555903511,5.937721251891497,-0.1439043071436128,0.2951672416440133,-0.4875348170145814,73,keepA_vs_dropA
D,CursorBench,2.2578743391099225,2.1490394090159346,-0.1088349300939879,0.2645859263001051,-0.4113405864624201,29,keepA_vs_dropA
D,Cybench,2.6373851307492897,2.622008080287614,-0.0153770504616757,0.275294944594661,-0.0558566394465273,22,keepA_vs_dropA
D,DeepResearchBench,0.6219373913568175,0.5924097766533503,-0.0295276147034672,0.1180115633934526,-0.2502095036655147,36,keepA_vs_dropA
D,DeepSWE,4.9993911479985265,4.930032017879456,-0.0693591301190705,0.5297090889664138,-0.1309381537220863,37,keepA_vs_dropA
D,EBR-bench,4.038532836613079,4.241123855306807,0.2025910186937274,0.5333563727678368,0.3798417512898317,18,keepA_vs_dropA
D,EnigmaEval,4.075689037965704,4.129006750650201,0.053317712684497,0.2147116210506613,0.2483224355700649,42,keepA_vs_dropA
D,ExploitBench,3.0957170246566785,3.104755294938432,0.0090382702817533,0.504549202398047,0.0179135557816675,10,keepA_vs_dropA
D,Fiction.LiveBench,0.6365058910580701,0.741720857262896,0.1052149662048259,0.3196229647167981,0.3291846263238678,41,keepA_vs_dropA
D,ForecastBench,1.6877017500123823,1.6909097607048942,0.0032080106925118,0.0624388093665273,0.0513784731813229,68,keepA_vs_dropA
D,FrontierCode,1.9972383791610555,2.045338543912661,0.0481001647516052,0.4024984499272061,0.1195039751340767,14,keepA_vs_dropA
D,FrontierMath,3.4837357063689773,3.4035087924181444,-0.0802269139508329,0.279882696722837,-0.2866447797245581,40,keepA_vs_dropA
D,FrontierMath Tier 4,6.8637132131320735,6.760108726611756,-0.1036044865203171,0.5425928840081039,-0.1909433197040781,41,keepA_vs_dropA
D,FrontierMath Tier 4 v1,6.007447261922365,6.051992823092479,0.0445455611701142,0.306605529748752,0.1452862288772713,72,keepA_vs_dropA
D,FrontierMath v1,3.878283146032289,3.9270494255208614,0.0487662794885723,0.1805239320554113,0.2701374766953541,101,keepA_vs_dropA
D,GDP.pdf,3.3038555098159605,3.429261263440499,0.1254057536245385,0.5788697380938059,0.2166389869290706,9,keepA_vs_dropA
D,GDPval,2.523089338437536,2.3618620804644466,-0.1612272579730893,0.3049156757304007,-0.5287601484800103,11,keepA_vs_dropA
D,GPQA Diamond,0.6042151499476047,0.6232976709772899,0.0190825210296852,0.1187758866152554,0.1606598912748867,201,keepA_vs_dropA
D,GPQA Diamond Biology,0.3062030157365548,0.3246813626334433,0.0184783468968885,0.1767462572443402,0.104547316503248,35,keepA_vs_dropA
D,GPQA Diamond Chemistry,1.7626563101578157,1.7569438527806571,-0.0057124573771585,0.2739937883942721,-0.0208488572337209,38,keepA_vs_dropA
D,GPQA Main Biology,0.1546102017818202,0.1812278236249329,0.0266176218431126,0.1762889667159329,0.1509885861773953,35,keepA_vs_dropA
D,GPQA Main Chemistry,1.8803715798452856,1.855554849161845,-0.0248167306834405,0.2562516589076409,-0.0968451513220647,38,keepA_vs_dropA
D,GSM8K,-0.6765121367187187,-0.6874151418006653,-0.0109030050819466,0.1444095903818165,-0.0755005609608009,94,keepA_vs_dropA
D,GSO-Bench,4.7133506611968645,4.726147317101454,0.0127966559045891,0.2818972039363738,0.0453947599546869,36,keepA_vs_dropA
D,GeoBench,-0.2692870033713363,-0.1998059104534656,0.0694810929178706,0.1893350005702002,0.3669743719260664,32,keepA_vs_dropA
D,HellaSwag,-1.1778598807622034,-1.18273365144233,-0.0048737706801267,0.0735199759229337,-0.0662917883057468,77,keepA_vs_dropA
D,Humanity's Last Exam,3.109371382165733,3.137104392280034,0.0277330101143009,0.1461272626551508,0.1897866942170041,46,keepA_vs_dropA
D,LAB-Bench Cloning,1.8550045616826885,1.8551337205622964,0.0001291588796079,0.2744097707830307,0.0004706788655498,32,keepA_vs_dropA
D,LAB-Bench LitQA2,1.1979288616511632,1.1835934830642494,-0.0143353785869138,0.0930779533452871,-0.154014759367715,33,keepA_vs_dropA
D,LAB-Bench Protocol,0.4621641872839045,0.5187593913451948,0.0565952040612902,0.1410109614574067,0.4013532244327347,34,keepA_vs_dropA
D,LAB-Bench SeqQA,0.4414701844608045,0.455414843796409,0.0139446593356044,0.11067596113984,0.1259953759785763,34,keepA_vs_dropA
D,LAMBADA,-1.2093247948696624,-1.2114740274985225,-0.0021492326288601,0.0741728222209182,-0.0289760125677677,26,keepA_vs_dropA
D,Lech Mazur Writing,-0.6285724680632973,-0.5971738311305264,0.0313986369327708,0.1333174692406362,0.2355177990672533,49,keepA_vs_dropA
D,LiveBench,-0.1106706588247251,-0.1103148083159171,0.000355850508808,0.0928987424733394,0.0038305201914886,52,keepA_vs_dropA
D,MATH Level 5,-0.710862004358626,-0.6821441935282523,0.0287178108303737,0.182602824407261,0.1572692586962624,111,keepA_vs_dropA
