,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
both,0,6057.0888416375155,1606.6955176204929,0.0,0.5893569162678242,71.69950500439485,0.0,True,log
human,1,5975.496748295858,1886.821662463919,81.59209334165669,0.1285675178130942,73.62674760511365,37.39814027766243,True,log
bare,2,5956.927986949686,1980.0456425816747,100.16085468782973,0.28207556591908167,73.79087895109228,39.67289411873318,True,log
