name,loo_elpd,loo_se,loo_p_eff,waic_elpd,waic_se,waic_p_eff,pareto_k_good,pareto_k_ok,pareto_k_bad,pareto_k_very_bad,pareto_k_max,pareto_k_mean
K=3 cy · signed · mode α,7195.980671648834,72.87585510018708,1708.1364422710858,7540.235198284851,67.56152479593148,1363.8819156350685,2776,1058,759,61,1.6783149011483562,0.4559738610886741
K=3 cy ladder3 · both · A,7164.394483669601,72.49134888480032,1634.4802956927724,7452.914957332108,68.07717863439443,1345.959822030266,2879,1007,682,86,1.6644159892713826,0.44236672866370647
K=3 cy · signed · mode β,7149.570473763119,75.28773820249525,1745.9385112860382,7525.5453356200715,69.02538529633038,1369.9636494290862,2792,1037,762,63,1.6607361504635085,0.4585632327008783
K=3 cy ladder3 · both · B,7138.190307555312,74.69630304432499,1651.5204975280767,7427.886672582541,70.15842821320405,1361.8241325008487,2804,1102,681,67,1.5839728094294454,0.4515075636452007
K=3 cy ladder1 · lin+BM · A,7130.02654620884,72.66588034512412,1589.2067757878312,7384.932364696409,69.45362370512755,1334.3009573002619,2953,970,656,75,1.613610238642454,0.4330452726186092
K=3 cy ladder2 · human · B,7127.184388131674,72.18841947749041,1784.6550965598517,7461.359146735075,68.43384427637818,1450.48033795645,2620,1041,890,103,1.6519714526670015,0.4802960440551562
K=3 cy ladder1 · lin+BM · B,7109.618507519298,77.30329825174113,1589.567156809394,7367.078770745638,73.34881929216336,1332.106893583055,2974,945,657,78,1.8028889273819293,0.4327262878709442
K=3 cy · positive · mode A,7109.345581935855,74.1399606604539,1668.8199688976056,7449.623130218601,68.5702570249712,1328.5424206148589,2887,1014,697,56,1.4981038515052891,0.4414694037843203
K=3 cy · positive · mode B,7098.60873865715,76.25270438430472,1689.9287935309358,7426.683997571145,70.49263678197981,1361.8535346169404,2836,1066,696,56,1.7614588338779784,0.4507127199351652
K=3 cy ladder2 · human · A,7083.236649814781,71.81212743946048,1859.2785674019333,7471.983663179835,67.41086041628819,1470.5315540368797,2547,1040,983,84,1.4592977881298934,0.48854407755856694
K=3 cy ladder0 · none,6896.445224016939,76.3173705226919,2083.01914702499,7352.688857334342,69.41043336230885,1626.7755137075878,2180,1329,1042,103,2.114166850963157,0.5289888120478473
