model_version,benchmark,score_new,score_old,delta
qwen3.5-plus,Chess Puzzles,0.22,0.17,0.04999999999999999
qwen3.7-max,Chess Puzzles,0.19,0.22,-0.03
qwen3.6-max-preview,Chess Puzzles,0.2,0.17,0.03
qwen3.6-flash,Chess Puzzles,0.2,0.1717171717171717,0.0282828282828283
qwen3.6-plus,OTIS Mock AIME 2024-2025,0.9333333333333332,0.9055555555555556,0.02777777777777768
qwen3.6-max-preview,GPQA Diamond,0.8737373737373737,0.8907828282828283,-0.017045454545454586
qwen3.6-flash,OTIS Mock AIME 2024-2025,0.8444444444444444,0.8611111111111112,-0.01666666666666672
qwen3.5-plus,OTIS Mock AIME 2024-2025,0.8666666666666667,0.85,0.01666666666666672
kimi-k2.7-code,GPQA Diamond,0.8787878787878788,0.8952020202020202,-0.016414141414141437
qwen3.5-flash,GPQA Diamond,0.8232323232323232,0.8383838383838383,-0.015151515151515138
qwen3.5-flash,OTIS Mock AIME 2024-2025,0.8444444444444444,0.8555555555555555,-0.011111111111111072
qwen3.6-flash,GPQA Diamond,0.8333333333333334,0.8442460317460317,-0.010912698412698374
qwen3.6-plus,GPQA Diamond,0.8838383838383839,0.8737373737373737,0.010101010101010166
