name,mean,hdi_low,hdi_high,n_obs
Skilled Generalist,157.91255903061602,148.21565634773845,170.92114023729425,2
Average Human,165.01076612493043,157.20766214504508,177.25607134427494,1
Committee of Domain Experts,178.54482505344254,164.61114121558745,199.47851073131397,1
Top Performer,192.95903156018477,178.94880285182353,216.76929738845854,2
