,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"logA_z_zerosum__[0, 11]",1.081296,0.263098,0.603784,1.580343,0.006969,0.004417,1456.657142,2413.494987,1.002788
"logA_z_zerosum__[0, 12]",0.814842,0.280265,0.292362,1.338863,0.006784,0.004773,1761.18836,2404.897428,1.001825
"logA_z_zerosum__[0, 13]",-0.965987,0.370222,-1.647469,-0.305138,0.006372,0.006277,3680.631515,3840.617071,1.001243
"logA_z_zerosum__[0, 14]",-0.024635,0.080891,-0.17791,0.126268,0.00145,0.0009,3131.376182,4496.470736,1.000305
"logA_z_zerosum__[0, 15]",-0.426497,0.738796,-1.837323,0.967879,0.018187,0.013216,1751.879885,1342.172499,1.001775
"logA_z_zerosum__[0, 16]",0.140711,0.145378,-0.133132,0.416037,0.003376,0.002383,1862.556578,2656.939494,1.000863
"logA_z_zerosum__[0, 17]",-1.044947,0.289784,-1.587271,-0.516196,0.006337,0.003399,2136.744906,3636.586486,1.000044
"logA_z_zerosum__[0, 18]",-0.545672,0.316465,-1.15172,0.040187,0.007051,0.005082,2141.270722,2607.089532,1.001329
D_z[AISI CTF Suites - Apprentice],-0.012248,0.092676,-0.186721,0.1608,0.002311,0.001531,1639.95232,2086.794309,1.002352
D_z[AISI CTF Suites - Expert],0.486576,0.134776,0.238485,0.734258,0.004512,0.002297,884.330487,1504.602364,1.003899
D_z[AISI CTF Suites - Practitioner],0.353614,0.267964,-0.169616,0.842865,0.008607,0.004848,971.9552,1765.775518,1.002005
D_z[AISI CTF Suites - Technical Non-Expert],-1.166182,0.247482,-1.641246,-0.711974,0.010909,0.006476,482.443149,687.633676,1.01317
D_z[AISI Cyber Ranges - Cooling Tower],1.866768,0.393748,1.119649,2.596816,0.013802,0.008038,793.196971,944.183458,1.007878
D_z[AISI Cyber Ranges - The Last Ones],0.636737,0.154591,0.347395,0.928629,0.005085,0.002707,890.809844,1166.405721,1.004828
D_z[BlueprintBench 2],1.054789,0.258265,0.599073,1.55494,0.010052,0.004734,675.616604,1029.100526,1.011937
D_z[Chess Puzzles],0.91122,0.161646,0.601661,1.207471,0.008046,0.005237,408.243925,445.594839,1.016682
D_z[CyScenarioBench],2.053486,0.420084,1.306401,2.889408,0.014598,0.008256,796.556493,789.840743,1.007478
D_z[DTBench],-0.857054,0.149934,-1.133198,-0.567084,0.007605,0.004884,387.376059,451.672694,1.016548
D_z[DrugDiscoveryBench],0.507403,0.148883,0.252351,0.788855,0.004998,0.003271,819.457582,1066.700229,1.007454
D_z[EBR-bench],1.7383,0.332667,1.129716,2.366693,0.014172,0.009194,538.340202,521.539693,1.013374
D_z[Fiction.LiveBench],-0.504784,0.135593,-0.753846,-0.25263,0.004733,0.00269,807.162068,1035.058798,1.007422
D_z[GeoBench],-0.442332,0.103635,-0.639337,-0.253365,0.00385,0.00203,701.180668,983.710723,1.010682
D_z[LMCA],0.445011,0.079418,0.29512,0.590339,0.003734,0.00248,458.286498,471.163706,1.016132
D_z[MirrorCode],0.893209,0.345471,0.284086,1.517907,0.009917,0.010113,1385.310698,1299.893441,1.002073
D_z[Mystery Game Puzzles],0.923583,0.16497,0.625774,1.245252,0.008043,0.005139,417.646549,467.898615,1.015622
D_z[PRBench],0.172311,0.045194,0.089454,0.257202,0.001532,0.00077,841.831312,1192.289722,1.006332
D_z[SWE Atlas],0.406913,0.103606,0.229402,0.611597,0.003625,0.001893,787.50263,1300.152289,1.008855
D_z[Visual Task Assessment (VISTA)],0.101016,0.025374,0.055333,0.150072,0.00089,0.000503,812.906333,1278.400979,1.008404
sigma_b[AISI CTF Suites - Apprentice],0.05549,0.012967,0.032758,0.079924,0.000211,0.000149,3682.53607,5097.522279,1.001381
sigma_b[AISI CTF Suites - Expert],0.049449,0.014004,0.025277,0.076379,0.000229,0.000184,3606.97166,4336.45287,1.000469
sigma_b[AISI CTF Suites - Practitioner],0.049057,0.021061,0.014282,0.087466,0.000726,0.000753,1049.124244,869.873531,1.00361
sigma_b[AISI CTF Suites - Technical Non-Expert],0.103935,0.018775,0.071302,0.138858,0.000251,0.000234,5487.674477,5712.660213,1.000408
sigma_b[AISI Cyber Ranges - Cooling Tower],0.115149,0.037843,0.04446,0.182378,0.000735,0.000437,2365.597026,3076.52052,1.001101
sigma_b[AISI Cyber Ranges - The Last Ones],0.063644,0.017222,0.033777,0.094919,0.000327,0.000268,2752.831595,4341.537658,1.001196
sigma_b[BlueprintBench 2],0.204877,0.028448,0.151619,0.259028,0.000424,0.000267,4477.599369,5427.062236,1.001012
sigma_b[Chess Puzzles],0.128873,0.008364,0.113069,0.14454,0.000132,8.9e-05,4008.449304,5507.062687,1.000143
sigma_b[CyScenarioBench],0.146709,0.032107,0.094224,0.211011,0.000527,0.000381,3788.935806,4668.359114,1.000531
sigma_b[DTBench],0.046382,0.005883,0.035162,0.056974,0.000125,6.4e-05,2194.186609,3168.086801,1.001315
sigma_b[DrugDiscoveryBench],0.073822,0.016737,0.045324,0.106896,0.000295,0.000229,3079.567626,3241.580056,1.002145
sigma_b[EBR-bench],0.091237,0.020599,0.056432,0.132143,0.000421,0.000303,2370.894029,3722.679736,1.002186
sigma_b[Fiction.LiveBench],0.134819,0.025987,0.088304,0.185928,0.000549,0.000279,2178.31192,3178.851299,1.00301
sigma_b[GeoBench],0.133243,0.016052,0.10493,0.163484,0.000183,0.000167,7590.200652,6425.675096,1.000397
sigma_b[LMCA],0.050812,0.005343,0.041239,0.060983,9.1e-05,5.3e-05,3469.178987,4835.548782,0.999985
sigma_b[MirrorCode],0.176238,0.039915,0.104801,0.2556,0.000747,0.000786,2855.30606,1123.552658,1.001219
sigma_b[Mystery Game Puzzles],0.091579,0.00925,0.074511,0.10891,0.000198,9.8e-05,2153.067348,3472.785135,0.999963
sigma_b[PRBench],0.063263,0.011901,0.042546,0.086443,0.000191,0.000135,3888.358401,5712.662773,1.00081
sigma_b[SWE Atlas],0.069967,0.020154,0.034815,0.107673,0.000508,0.000261,1507.341537,3206.436669,1.001316
sigma_b[Visual Task Assessment (VISTA)],0.044273,0.006171,0.032859,0.055625,0.000102,6.3e-05,3648.732685,5064.535953,1.00029
tau_CD,1.874887,0.355139,1.280302,2.516075,0.018445,0.024185,392.262254,416.627022,1.016759
sigma_A,0.715841,0.128647,0.490025,0.959989,0.004038,0.002872,1000.566638,1479.712173,1.003536
"theta_t[axis1, Average Human]",1.811541,0.268858,1.328397,2.325292,0.004153,0.00467,4511.465853,4272.876879,1.001094
"theta_t[axis1, Committee of Domain Experts]",2.84679,0.655429,1.598823,4.036384,0.008901,0.007491,5467.225185,5070.922636,1.00024
"theta_t[axis1, DeepSeek-V3-0324]",-1.025267,0.181347,-1.367208,-0.681627,0.001914,0.002012,8909.915316,6469.583145,1.000301
"theta_t[axis1, DeepSeek-V3.1]",-0.499405,0.337906,-1.120844,0.167524,0.003904,0.004513,7591.052233,5267.895249,0.999958
"theta_t[axis1, DeepSeek-V3.1-Terminus]",-0.1082,0.189769,-0.464991,0.250203,0.001822,0.002219,10846.910609,6456.435249,1.000174
"theta_t[axis1, DeepSeek-V3.1_thinking]",-0.173899,0.186475,-0.52247,0.181178,0.001899,0.002234,9622.340102,5947.511471,1.001453
"theta_t[axis1, DeepSeek-V3.2-Exp_thinking]",0.158342,0.192707,-0.218285,0.502166,0.002035,0.002075,8953.742679,6412.627559,1.000087
"theta_t[axis1, Inkling_xhigh]",0.384309,0.188194,0.018661,0.726169,0.001815,0.002284,10749.828247,5309.387921,1.000802
"theta_t[axis1, Llama-2-13b-chat]",-2.006601,0.221298,-2.405231,-1.567056,0.002733,0.002631,6682.017439,5127.282843,1.0001
"theta_t[axis1, Llama-3.1-70B-Instruct]",-1.201752,0.190905,-1.554357,-0.836725,0.00219,0.002123,7605.55863,5858.248118,0.999931
"theta_t[axis1, Llama-3.1-8B-Instruct]",-1.810244,0.197067,-2.165016,-1.427798,0.002646,0.002153,5641.508331,5527.402167,1.000625
"theta_t[axis1, Llama-3.2-90B-Vision-Instruct]",-2.092925,0.510018,-3.050975,-1.133065,0.005676,0.006258,8114.576043,5744.878461,1.00049
"theta_t[axis1, Llama-3.3-70B-Instruct]",-1.155292,0.195354,-1.512836,-0.777803,0.002159,0.002168,8171.363457,6127.002882,1.000131
"theta_t[axis1, Llama-4-Maverick-17B-128E-Instruct]",-1.140975,0.16399,-1.44313,-0.834312,0.001913,0.001852,7358.227736,5704.2297,1.000603
"theta_t[axis1, Llama-4-Scout-17B-16E-Instruct]",-1.333811,0.173936,-1.669945,-1.020135,0.00205,0.002115,7353.743766,3730.909667,1.000802
"theta_t[axis1, Meta-Llama-3-8B-Instruct]",-1.939571,0.21993,-2.372251,-1.544356,0.002434,0.002634,8240.989408,5554.660938,1.000329
"theta_t[axis1, MiniMax-M3]",-0.134295,0.185279,-0.47995,0.216736,0.001964,0.002256,8886.056275,5470.963081,1.000988
"theta_t[axis1, MiniMax-M3_none]",-0.730122,0.457093,-1.639935,0.071481,0.005076,0.005873,8920.645648,5028.584545,1.000141
"theta_t[axis1, MiniMax-M3_xhigh]",-0.401004,0.62963,-1.659615,0.707089,0.009441,0.007626,4567.165471,4785.835538,1.000925
"theta_t[axis1, Pixtral-12B-2409]",-2.164502,0.496095,-3.093081,-1.207007,0.005679,0.005819,7662.375096,5329.577675,1.000314
"theta_t[axis1, Qwen3-235B-A22B-Instruct-2507]",-0.431693,0.165099,-0.733055,-0.107716,0.001797,0.002002,8445.021934,5217.332584,1.000726
"theta_t[axis1, Qwen3-235B-A22B-Thinking-2507]",-0.162357,0.157345,-0.445785,0.138045,0.001596,0.001864,9716.714321,6253.527511,1.001274
"theta_t[axis1, Qwen3-30B-A3B]",-1.162536,0.188118,-1.520716,-0.810402,0.002046,0.002291,8467.712928,5746.361938,1.000372
"theta_t[axis1, Qwen3-30B-A3B_none]",-1.158103,0.576117,-2.242108,-0.112409,0.006386,0.006796,8629.427461,5511.376949,1.000358
"theta_t[axis1, Qwen3-32B]",-0.890289,0.185293,-1.235392,-0.540602,0.00194,0.002198,9144.127917,5420.058774,0.99991
"theta_t[axis1, Qwen3-32B_none]",-1.162749,0.566717,-2.267587,-0.147421,0.005909,0.006993,9865.442116,5239.387182,1.000187
"theta_t[axis1, Skilled Generalist]",1.266877,0.501332,0.349723,2.213598,0.005948,0.005326,7135.966111,6484.093944,1.000421
"theta_t[axis1, Top Performer]",3.949402,0.424737,3.169563,4.746021,0.005994,0.004426,5055.363117,5532.759752,0.999952
"theta_t[axis1, c4ai-command-a-03-2025]",-1.288072,0.187026,-1.624249,-0.920193,0.002111,0.002094,7921.771162,5741.435828,0.999916
"theta_t[axis1, c4ai-command-r-08-2024]",-1.805827,0.198804,-2.190544,-1.447481,0.002293,0.002245,7555.698674,5891.152475,1.0001
"theta_t[axis1, c4ai-command-r-plus-08-2024]",-1.676149,0.204847,-2.064934,-1.296352,0.002656,0.002236,6056.442137,5847.355272,1.000143
"theta_t[axis1, claude-3-5-haiku-20241022]",-1.413058,0.215786,-1.818544,-1.001938,0.002408,0.002573,8078.133342,6008.116703,1.000015
