axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,ARC-AGI-2,Core AGI Progress,3.63236676280457,0.6440691359725017,5.218302727717133,4.021255706487261,0.8159358321936724
axis1,VPCT,Multimodal Understanding,3.273607801752602,1.1272535459993411,4.729991459891331,3.326363820205919,0.9685316057160577
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,3.170390063365025,0.5952056377390534,4.0159753855064215,3.3331626502582625,0.9047162333266789
axis1,MATH Level 5,High End Math Reasoning,2.7091052900043033,0.6119687589314019,3.4422757219539526,2.843289928359529,0.9078403369463562
axis1,ARC-AGI,Core AGI Progress,2.6732977548680403,0.37924697951879366,3.7900384252503305,3.023718824464398,0.7816491500060462
axis1,GPQA Main Chemistry,Chemistry,2.125295058435426,-0.3707518302938889,3.2107899143141947,2.2063936398706105,0.9278386745302387
axis1,GPQA Diamond Chemistry,Chemistry,1.9568730525448053,0.03692686678611456,2.9979007115374157,1.9994964897115688,0.9578202475858607
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.8957028358715933,0.5391136605973047,2.9407671242555726,1.9295913283679997,0.965183395795261
axis1,CritPt,Domain Specific Questions,1.789528258070634,0.7486178994234918,2.752238812866895,1.8271110354455025,0.9592840861780917
axis1,Fiction.LiveBench,Advanced Language and Writing,1.5940172083642712,0.2817787571779396,2.756209863273519,1.611599617382222,0.9782992033912599
axis1,GPQA Diamond,Domain Specific Questions,1.574921157667231,0.4339851193829034,1.9442362374023525,1.6044129783296532,0.9635745081635306
axis1,Aider Polyglot,Autonomous SWE,1.5457200824530895,0.4683098131622487,2.556555898664157,1.5930690668880778,0.9414396584145953
axis1,DeepSWE,Autonomous SWE,1.5420224393543556,0.17233767093311908,3.297911192288957,1.5739670054059096,0.9598207595606173
axis1,VisualToolBench,Multimodal Understanding,1.5359493863793068,0.21254968781785624,2.221058890607622,1.6709644853577528,0.8449273543456753
axis1,Humanity's Last Exam,Domain Specific Questions,1.5018934697490391,0.7063491513371322,2.020078089314703,1.589646517732829,0.8926416193293841
axis1,FrontierMath Tier 4,High End Math Reasoning,1.4844454735039174,-0.10747338764837605,3.7989640988828572,1.9531537125942022,0.5776378629436828
axis1,Chess Puzzles,General Reasoning,1.4098426104432549,-0.003015567440482746,2.1610878249938086,1.4689627938823435,0.9211273395697988
axis1,EnigmaEval,General Reasoning,1.3895251657345578,0.4125184327960954,2.0807143131606187,1.4032682839998627,0.9805086158121832
axis1,TerminalBench,Agentic Computer Use,1.3858652834640441,0.3282647105302368,2.2500476026405094,1.391080167437105,0.9925164497180915
axis1,Cybench,Agentic Computer Use,1.3147304491090575,-0.7732054093529882,2.8204600478665283,1.3455798997324586,0.9546726054469372
axis1,Surface Evolver Bench,Autonomous SWE,1.2329520520209734,-0.19851616673284628,2.526690094027753,1.2969142657569421,0.9037948049544289
axis1,GSO-Bench,Autonomous SWE,1.2056708438956256,-0.2905672749180989,2.238286036235983,1.4984072670637243,0.6474373893175153
axis1,BioLP-bench,Biology,1.1790903554714058,0.025398809087506347,2.0372486491827293,1.2419125934494206,0.9013887054776429
axis1,SimpleBench,General Reasoning,1.1522335654508291,0.6222730975686352,1.6456495560575444,1.1881523013645765,0.9404523970551024
axis1,MultiNRC,Advanced Language and Writing,1.11081227796276,0.5103958858344889,1.5489298804213099,1.1280651195769589,0.9696455333947391
axis1,APEX Agents,Core AGI Progress,1.0499772543458104,0.25886634718538426,1.674784300067033,1.0598522697184862,0.9814521114641938
axis1,FrontierMath,High End Math Reasoning,1.044573552235753,0.08640446644656088,2.4309821717064164,1.1961799019751793,0.7625793643141099
axis1,CAD-Eval,Multimodal Understanding,1.0272128663942466,-0.5285185576819402,2.4373455598341107,1.140142950709009,0.8117126013736015
axis1,MCP Atlas,Agentic Computer Use,0.9774829613578208,0.02165506201104556,1.738786386907182,1.011290979885038,0.934256492383866
axis1,LiveBench,Core AGI Progress,0.9472466342442002,0.3835613409589843,1.3631832124242447,0.960997556743079,0.9715867301273745
