model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
qwen3.8-max_xhigh,2026-08-02,1.3870335093808142,1.25487628130756,1.5295212047942426,162.6603847112085,157.32811061775664,169.68578594365715
claude-opus-5,2026-07-24,1.4694040506470503,1.2147657824914424,1.7606668664337353,164.54530088435382,157.25030027400103,174.1059883646456
claude-opus-5_max,2026-07-24,1.7135970863795156,1.5899655294675208,1.8478431891132054,170.0285986748474,163.7732524591897,178.45403222533199
kimi-k3_unknown,2026-07-16,1.6606325201426588,1.459185188310361,1.8802989832801698,168.83484600466426,161.77283415972607,178.06271289039876
gpt-5.6-sol_max,2026-07-09,1.7608370142592054,1.6321869665837265,1.896497050908468,171.1023044138042,164.60166096868792,179.6534485149091
grok-4.5_high,2026-07-08,1.1612385395150229,1.0496268638717787,1.286837667564775,157.57798750610186,153.09199376299972,163.43160654371945
claude-sonnet-5_unknown,2026-06-30,1.3714503141887358,1.096408657245569,1.6328944365078006,162.28234212126506,154.9276157844895,171.17616315019654
glm-5.2_unknown,2026-06-16,1.2686529769237676,0.9097411961048651,1.608628594099999,159.89838022402867,151.09584085591172,169.95024321383352
claude-fable-5_max,2026-06-09,1.8085386170025353,1.6767617661723546,1.9484524638454168,172.1621640313909,165.4754879772147,181.03831960911347
claude-fable-5,2026-06-09,1.7369270002975408,1.3815461789028078,2.1181164917897823,170.52108608739996,160.9922290912195,182.60574433730417
claude-fable-5_unknown,2026-06-09,1.9952754723058304,1.6228877230313372,2.436789733473483,176.41835589049413,165.99762186834727,190.63201328554496
claude-fable-5_high,2026-06-09,1.7253584765082752,1.5543019503840712,1.9091776217239846,170.2995168942317,163.51945876444998,179.28700822289062
MiniMax-M3,2026-06-01,0.6808775174546047,0.41779420789860927,0.9049291297383765,146.67205045318818,140.5236930626261,152.84230278965495
claude-opus-4-8_unknown,2026-05-28,1.4579286766819728,1.1239267821444767,1.7504447889777601,164.20068260428985,155.66543223607803,173.81491350768553
deepseek-v4-pro_max,2026-04-24,0.8476232370060364,0.7367681117596164,0.963337024150664,150.47877103556925,146.85307120614016,155.01578735426787
gpt-5.5-codex,2026-04-23,1.1289076407072778,-0.5740475069447492,1.9488837745151322,156.67521854804974,118.05863585366603,176.97435910751565
gpt-5.5-pro_xhigh,2026-04-23,1.7422503259133806,1.5931767506399468,1.9095674655506936,170.710436319257,164.04045463882673,179.59509517456482
gpt-5.5_xhigh,2026-04-23,1.600006183596762,1.4827990387720258,1.7207792639594042,167.4574216349962,161.5848551100249,175.21357759496428
gpt-5.4-2026-03-05_xhigh,2026-03-05,1.3681008837641282,1.2667620047424333,1.47006021965458,162.2178879447543,157.2738479623065,168.64973529564253
gpt-5.4-pro-2026-03-05_unknown,2026-03-05,1.3724832779744705,1.2152890084554566,1.537044979853576,162.33355486229888,156.69955849689092,169.62901129747897
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.5816059723439042,1.4429223635666713,1.7408200843490786,167.0756550565551,161.04700303179428,175.11254383553086
gemini-3.1-pro-preview,2026-02-19,1.2345550586583176,1.1470433824075383,1.3258579768157257,159.21771862045279,154.78881499629694,164.9467934497596
claude-opus-4-6,2026-02-05,0.935379119457739,0.781236757956756,1.0889027405752845,152.46637629445362,147.95804899803457,157.95153848717555
claude-opus-4-6_high,2026-02-05,1.3649788127915223,1.1533037113642233,1.580588267413527,162.13317004417524,155.7874733247658,170.17077671521335
mistral-large-2512,2025-12-02,0.04283411270890135,-0.4313389009223854,0.42559034010662034,132.30190043294172,121.2365660603466,141.16818412280375
gpt-5-pro-2025-10-06_unknown,2025-10-07,1.2237577346739523,1.0599289850266214,1.3922353012946396,158.96850613588535,153.66480093262882,165.64299627913053
gpt-5-pro-2025-10-06_high,2025-10-07,1.019143213723876,0.8652114595601591,1.1552334687860248,154.31494102761596,149.7112869475669,159.8119204377258
