name,mean,hdi_low,hdi_high,n_obs
Average Human,-0.8206427760586973,-1.1981104026135734,-0.5726797688378273,8
Skilled Generalist,-0.6334160581889956,-0.7991054788648013,-0.47493471334374954,10
High School Qualifier,0.3170289740463488,0.005751765425178128,0.6137753215047823,1
Committee of Average Humans,0.4063395268997791,-0.7059376574466538,1.834074735728283,1
Domain Expert,0.6933083754424948,0.5353173367331688,0.8620305850723146,15
Committee of Domain Experts,0.7968779641121053,0.6501797275748299,3.076167766834629,3
High School Top Performer,1.2521241114499972,0.8856433694129496,1.7376799203937014,4
Top Performer,1.6122964305845444,1.0637670738299958,2.6771950399727777,2
