name,mean,hdi_low,hdi_high
ForecastBench,0.08168415958795283,0.06191724400264844,0.10319387762197525
LAB-Bench LitQA2,0.3050693568786212,0.24753299535957368,0.3690623444437563
Visual Task Assessment (VISTA),0.442975110897861,0.37770267530863016,0.5183794338795533
SEAL Instruction Following,0.4868781885022626,0.3132835525600738,0.706261808487889
LAB-Bench SeqQA,0.5603703351648825,0.45578226334698135,0.6768098871041458
LAB-Bench Protocol,0.5866159593550014,0.47330800655883315,0.7169072455638905
GeoBench,0.6069545620509814,0.3625506657510049,0.8794304948531904
LAB-Bench Cloning,0.6570594794190387,0.491241049582237,0.8412193823265941
Mystery Game Puzzles,0.7629190401169894,0.5152187679118888,1.0460414373179163
SEAL Tool Use (Enterprise),0.7803985749962632,0.6247272707029072,0.942617011690577
METR Time Horizons,0.832728468021545,0.7405878110174123,0.9379732603772093
CursorBench,0.8363676651494896,0.6787142031648276,0.997977124902785
GDPval,0.8696018640170091,0.44522158980743154,1.4398372384358191
MCP Atlas,0.87119096304951,0.5858663857247925,1.1704167315475327
FrontierCode,0.9445655941180341,0.6269833633555387,1.280920011916783
Chess Puzzles,1.0011345186319087,0.8313611550930177,1.1798587129350322
LiveBench,1.045789990840972,0.8901980117860845,1.2036393122648905
WeirdML,1.1400565470724286,1.0444589020909256,1.2394368297681655
OS World 2,1.19379838703447,0.6773172835436133,1.8193751796586535
APEX Agents,1.2212512280660788,1.0251525179525882,1.4220137628477034
Remote Labor Index,1.289705122085985,0.7797317285959688,1.811856529951496
SWE-Bench Pro (Private),1.4029292484403908,1.008547802366807,1.812525956318737
Humanity's Last Exam,1.4220294465320247,1.2207267862265883,1.6356155831431394
BlueprintBench 2,1.5175826988259882,1.0125010838281536,2.132251787383196
EnigmaEval,1.5763663991290269,1.3636387057877635,1.7977422350558339
DeepSWE,1.6764023333041456,1.3930128603786893,1.9726238855238305
CritPt,1.7839775456991656,1.598722943604857,1.9734886701104013
FrontierMath,1.8353727163193743,1.6412531200596254,2.0551276802274665
Surface Evolver Bench,1.8371166567533135,1.419159957459346,2.290072700201138
ProofBench,1.9523733567057526,1.5591389258568136,2.361964803761006
Fiction.LiveBench,2.078390114976914,1.2970202949442564,2.9219450799479425
OTIS Mock AIME 2024-2025,2.15776529640576,1.9255667109708479,2.386182028994764
EBR-bench,2.1959204145913027,1.6502072127555893,2.7327622229052704
FrontierMath Tier 4,2.9300989010442593,2.5689996448957158,3.3180023833915135
