axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share,sign_confident,method
axis1,FrontierMath Tier 4,,3.1375368220458006,2.4195696177724315,4.306034797174616,3.1375368220458006,1.0,True,varimax
axis1,OTIS Mock AIME 2024-2025,,2.3605307141961847,1.487992786964823,3.3068053263351156,2.3605307141961847,1.0,True,varimax
axis1,FrontierMath Tier 4 v1,,2.324689471824693,1.7329387445768893,3.267237283812058,2.324689471824693,1.0,True,varimax
axis1,MATH Level 5,,2.105227357222187,0.9078818870606724,3.0620578868362784,2.105227357222187,1.0,True,varimax
axis1,ProofBench,,2.0165644925941986,1.5232745636921545,2.807990425044225,2.0165644925941986,1.0,True,varimax
axis1,FrontierMath,,2.005895275903041,1.516407015499439,2.7372086096872503,2.005895275903041,1.0,True,varimax
axis1,CritPt,,1.9460174442850995,1.53181771303639,2.6529104861462693,1.9460174442850995,1.0,True,varimax
axis1,GPQA Diamond Chemistry,,1.9169268768889172,-6.157910842240107,2.9885667041093518,1.9169268768889172,1.0,False,varimax
axis1,Cybench,,1.905760203847658,1.355729215099748,2.9699023358731647,1.905760203847658,1.0,True,varimax
axis1,VisualToolBench,,1.8603961336395565,1.3578610401499747,2.6143691997711263,1.8603961336395565,1.0,True,varimax
axis1,Fiction.LiveBench,,1.8260281568431884,0.0238935271091205,3.0992553394280615,1.8260281568431884,1.0,True,varimax
axis1,Surface Evolver Bench,,1.7998362099509628,1.2432009615855866,2.5890009464373174,1.7998362099509628,1.0,True,varimax
axis1,TerminalBench,,1.7759341511395172,1.3995470539202337,2.4801998341427773,1.7759341511395172,1.0,True,varimax
axis1,Aider Polyglot,,1.7591353584624652,0.9088902697273606,2.5934346703016717,1.7591353584624652,1.0,True,varimax
axis1,DeepSWE,,1.732695787933997,1.2794279351550197,2.4788289712017937,1.732695787933997,1.0,True,varimax
axis1,GPQA Main Chemistry,,1.716939619944327,-5.996153001701331,2.6501981391937943,1.716939619944327,1.0,False,varimax
axis1,GSO-Bench,,1.6844922319881017,1.2187796504054256,2.457968294789175,1.6844922319881017,1.0,True,varimax
axis1,The Agent Company,,1.6683065232591958,0.6814745740555272,2.8018547862095033,1.6683065232591958,1.0,True,varimax
axis1,EnigmaEval,,1.570902761199149,0.9848964747222364,2.20838356958178,1.570902761199149,1.0,True,varimax
axis1,BioLP-bench,,1.4866884416867503,-4.237234159726444,2.298447899880047,1.4866884416867503,1.0,False,varimax
axis1,GPQA Diamond,,1.4222335082426287,1.0474939046092189,1.9902890466093255,1.4222335082426287,1.0,True,varimax
axis1,Humanity's Last Exam,,1.4122345024742202,0.8858557981267617,1.9984718338139686,1.4122345024742202,1.0,True,varimax
axis1,SWE-Bench Pro (Private),,1.4021453102228074,0.9269638063460214,2.1407105249831258,1.4021453102228074,1.0,True,varimax
axis1,ExploitBench,,1.357097117296009,0.8285031708581567,2.0823579182471015,1.357097117296009,1.0,True,varimax
axis1,APEX Agents,,1.3521172135538697,1.027607663519605,1.8806186315120577,1.3521172135538697,1.0,True,varimax
axis1,MultiNRC,,1.3483611699402227,0.7882893905443427,1.892368470238413,1.3483611699402227,1.0,True,varimax
axis1,MMLU Pro Chemistry,,1.3265798755743674,-4.674482209002486,2.037098660190349,1.3265798755743674,1.0,False,varimax
axis1,GBAEval,,1.301072648566726,0.024324363526233593,2.6040668216776464,1.301072648566726,1.0,True,varimax
axis1,BlueprintBench 2,,1.2771498387949147,0.5477233180902927,2.137905646010224,1.2771498387949147,1.0,True,varimax
axis1,LAB-Bench Cloning,,1.212809434703297,0.21546142382502478,1.9024284702884962,1.212809434703297,1.0,True,varimax
axis1,WeirdML,,1.1559507400815545,0.9111558401235608,1.6063074039510443,1.1559507400815545,1.0,True,varimax
axis1,CAD-Eval,,1.1171582654715873,-1.3135229077362987,1.964956253086465,1.1171582654715873,1.0,False,varimax
axis1,Chess Puzzles,,1.111939716223989,0.7412076729150949,1.5921153799391778,1.111939716223989,1.0,True,varimax
axis1,Remote Labor Index,,1.093270891580874,0.317605347396318,1.7734284227668862,1.093270891580874,1.0,True,varimax
axis1,MCP Atlas,,1.0478524119471833,0.6232276067734994,1.6103029642864695,1.0478524119471833,1.0,True,varimax
axis1,SWE-Bench Pro,,1.0451152520678288,0.729138376677994,1.5412726698855401,1.0451152520678288,1.0,True,varimax
axis1,LiveBench,,1.0368267687658386,0.1553166297723954,1.5779163820007471,1.0368267687658386,1.0,True,varimax
axis1,PostTrainBench,,0.9773383895716061,0.7046769921345527,1.4221241683541341,0.9773383895716061,1.0,True,varimax
axis1,LAB-Bench SeqQA,,0.9072611679146569,-3.1506194493217485,1.402620352023298,0.9072611679146569,1.0,False,varimax
axis1,FrontierCode,,0.8809937133677508,0.541459280280303,1.2997518073225147,0.8809937133677508,1.0,True,varimax
axis1,OS World 2,,0.876396355784697,-0.20966359498551976,1.7466045384032143,0.876396355784697,1.0,False,varimax
axis1,CursorBench,,0.8721554186904016,0.6472432436713103,1.2397910118835354,0.8721554186904016,1.0,True,varimax
axis1,LAB-Bench Protocol,,0.8620534057719216,-3.0498765182010086,1.3359501410358876,0.8620534057719216,1.0,False,varimax
axis1,GPQA Main Biology,,0.8548727857465517,-2.959693246142614,1.4339053263775698,0.8548727857465517,1.0,False,varimax
axis1,MMLU Pro Biology,,0.8529332604836519,-3.1350381403585494,1.3242054616040382,0.8529332604836519,1.0,False,varimax
axis1,GDP.pdf,,0.8506744208340348,0.4889959822669286,1.2818946857459395,0.8506744208340348,1.0,True,varimax
axis1,METR Time Horizons,,0.8149317088850074,0.3377867512273557,1.1017094923637845,0.8149317088850074,1.0,True,varimax
axis1,SWE-Bench Verified,,0.7916548837431567,0.4347592325249952,1.2252849561542565,0.7916548837431567,1.0,True,varimax
axis1,BALROG,,0.7903132475187058,0.5763728394668608,1.0884537651558635,0.7903132475187058,1.0,True,varimax
axis1,MMLU-Pro,,0.7758409641042456,0.6089632902652252,1.1526915136773979,0.7758409641042456,1.0,True,varimax
axis1,MMLU Chemistry,,0.7633310558647235,-2.584087436596111,1.184858430445555,0.7633310558647235,1.0,False,varimax
axis1,SEAL Tool Use (Enterprise),,0.7407345593297074,-0.014359204538617153,1.1842561909599698,0.7407345593297074,1.0,False,varimax
axis1,AudioMultiChallenge,,0.7235079470007185,-0.07884804052738759,1.117889322199962,0.7235079470007185,1.0,False,varimax
axis1,GPQA Diamond Biology,,0.7109321326435942,-2.7009827149116163,1.2519211000071209,0.7109321326435942,1.0,False,varimax
axis1,Mystery Game Puzzles,,0.6685811420014787,0.37940344702216044,1.036513870377917,0.6685811420014787,1.0,True,varimax
axis1,SimpleQA Verified,,0.6641058970787508,0.48319169193491235,0.9857563450915563,0.6641058970787508,1.0,True,varimax
axis1,OS World (Screenshot),,0.663854886525219,-0.43478192827818474,1.4858090960865225,0.663854886525219,1.0,False,varimax
axis1,GDPval,,0.6201623041554669,-0.09008466393263218,1.498002133051833,0.6201623041554669,1.0,False,varimax
axis1,WMDP Chemistry,,0.600006444935562,-2.112976463931235,1.0164687756343214,0.600006444935562,1.0,False,varimax
axis1,SpatialViz-Bench,,0.5828482103618666,-0.3198352581810911,1.9085112144112995,0.5828482103618666,1.0,False,varimax
axis1,MultiChallenge,,0.5778915652602619,0.3185307583166194,0.9298335507748313,0.5778915652602619,1.0,True,varimax
axis1,CL-Bench Life,,0.5532631540436843,0.23182285528493093,0.9331297827291126,0.5532631540436843,1.0,True,varimax
axis1,LAB-Bench LitQA2,,0.5488959992872763,-2.149040166753429,0.9095525744951382,0.5488959992872763,1.0,False,varimax
axis1,SciCode,,0.5051468080091384,0.3908347501533135,0.6856053730671615,0.5051468080091384,1.0,True,varimax
axis1,CL-Bench,,0.491772274121839,0.22782761111824937,0.8179527058011644,0.491772274121839,1.0,True,varimax
axis1,MMLU Biology,,0.4719138324089262,-1.6731699682494334,0.7494190085164099,0.4719138324089262,1.0,False,varimax
axis1,Lech Mazur Writing,,0.42742552824593705,0.16302109869133208,0.7653384750562999,0.42742552824593705,1.0,True,varimax
axis1,SEAL Instruction Following,,0.4230104168844622,0.05072226463644537,0.775014806072703,0.4230104168844622,1.0,True,varimax
axis1,WMDP Biology,,0.40819298408361304,-1.6734123423333014,0.7513970973440468,0.40819298408361304,1.0,False,varimax
axis1,Visual Task Assessment (VISTA),,0.40715927937760077,0.2702026746634548,0.586296417674093,0.40715927937760077,1.0,True,varimax
axis1,GeoBench,,0.40701252540723987,-0.0358075844961388,0.8336263585206594,0.40701252540723987,1.0,False,varimax
axis1,TutorBench,,0.36301400061057976,0.1522450891028682,0.5823614451908111,0.36301400061057976,1.0,True,varimax
axis1,PRBench Finance,,0.3471041397254199,0.13034716631901486,0.6252207921634835,0.3471041397254199,1.0,True,varimax
axis1,PRBench Legal,,0.3358168140017347,0.1259538879167779,0.6013213743836633,0.3358168140017347,1.0,True,varimax
axis1,EBR-bench,,0.323243989576831,-0.7740683811499061,1.39229154751748,0.323243989576831,1.0,False,varimax
axis1,DeepResearchBench,,0.28081111157946453,0.09375909860801959,0.49832487742194503,0.28081111157946453,1.0,True,varimax
axis1,ForecastBench,,0.22431578190417584,0.11285484282241441,0.35443981516102835,0.22431578190417584,1.0,True,varimax
axis1,TriviaQA,,-0.11251385125535614,-0.3432695984939454,0.49934554291778727,0.11251385125535614,1.0,False,varimax
axis1,LAMBADA,,-0.11260937845849617,-0.3684500327714576,0.46463806939267266,0.11260937845849617,1.0,False,varimax
axis1,MMLU,,-0.19674900200563877,-0.43629163507228297,1.3645689605253437,0.19674900200563877,1.0,False,varimax
axis1,MindCube,,-0.32071009064530376,-1.3860416707743504,1.2187377092883314,0.32071009064530376,1.0,False,varimax
axis1,Video-MME,,-0.41105549987696566,-0.6161604381131051,-0.13311238568786335,0.41105549987696566,1.0,True,varimax
axis1,BoolQ,,-0.49081145788723907,-0.8926955787062186,1.1192404562472404,0.49081145788723907,1.0,False,varimax
axis1,ScienceQA,,-0.519761626810234,-1.011371658355378,0.3631422481660423,0.519761626810234,1.0,False,varimax
axis1,SuperGLUE,,-0.5607737078229711,-1.271806107558865,1.2044514340382317,0.5607737078229711,1.0,False,varimax
axis1,BIG-Bench Hard (BBH),,-0.6622720602133275,-1.4818493106038668,2.007781058288529,0.6622720602133275,1.0,False,varimax
axis1,Adversarial NLI,,-0.6826436982932209,-1.5957542577487063,2.144713406600074,0.6826436982932209,1.0,False,varimax
axis1,ARC (AI2),,-0.7951585178538864,-1.50905263881376,1.834402195280995,0.7951585178538864,1.0,False,varimax
axis1,GSM8K,,-1.1280109096760174,-1.7868400958562891,2.4076217963003645,1.1280109096760174,1.0,False,varimax
axis1,CSQA2,,-1.6291219345569536,-3.689142670835957,2.311562993805743,1.6291219345569536,1.0,False,varimax
axis1,FrontierMath Tier 4,,3.1375368220458006,2.4195696177724315,4.306034797174616,3.1375368220458006,1.0,True,wop
axis1,OTIS Mock AIME 2024-2025,,2.3605307141961847,1.487992786964823,3.3068053263351156,2.3605307141961847,1.0,True,wop
