name,mean,hdi_low,hdi_high,n_obs
Average Human,-2.3427181508368893,-2.794432781876644,-1.8978679960214924,3
Skilled Generalist,-1.0021650757115674,-1.197238501036045,-0.8217196572290294,11
High School Qualifier,-0.008919029946567202,-0.5540467918980956,0.5660402168606764,1
Domain Expert,0.40670035476667776,0.20824814875619233,0.6257970603779903,13
Committee of Domain Experts,0.6443070077729685,0.3157629179265642,0.9812875623917922,2
High School Top Performer,1.223130272421935,0.7625554531283448,1.7926883526085573,4
Top Performer,3.5051663918700644,2.6324957170401926,4.492867186362947,2
