model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
o1-preview-2024-09-12,axis2,23,False,True,False,True,True,2024-09-12 00:00:00,-0.17609682707595561,-0.3068060398582493,0.3238343379137075,False,True,False,,,,0.023112694921405705,0.27348297831206225,0.08451237098578246,
o1-pro-2025-03-19,axis1,4,False,False,False,True,False,2025-03-19 00:00:00,0.35155151399572154,0.2517815640728184,0.7229921092244869,False,False,False,,,,0.09909584691380195,0.12872652193192521,0.7698168600112343,
o1-pro-2025-03-19,axis2,4,False,False,False,True,False,2025-03-19 00:00:00,-0.10415931647320974,-0.11772143890600728,0.4845839838409659,False,False,False,,,,0.09909584691380195,0.12872652193192521,0.7698168600112343,
o1-pro-2025-03-19_low,axis1,1,False,False,True,True,False,2025-03-19 00:00:00,-0.011319266561145404,-0.03942578174149862,0.7264152023425824,False,False,False,,,,0.022548679219237255,0.03741074627648632,0.6027326761297386,
o1-pro-2025-03-19_low,axis2,1,False,False,True,True,False,2025-03-19 00:00:00,0.022480523245081332,0.023014570041969787,0.6668100719080801,False,False,False,,,,0.022548679219237255,0.03741074627648632,0.6027326761297386,
o3-2025-04-16_high,axis1,21,False,True,False,True,True,2025-04-16 00:00:00,0.20680259674302826,0.19964753896216453,0.2115944331141937,False,False,False,,,,0.041400073125627566,0.12484491792986704,0.3316120016105461,
o3-2025-04-16_high,axis2,21,False,True,False,True,True,2025-04-16 00:00:00,0.5368989276031503,0.5648187605919255,0.1653533648833407,False,False,False,,,,0.041400073125627566,0.12484491792986704,0.3316120016105461,
o3-2025-04-16_low,axis1,5,False,False,False,True,True,2025-04-16 00:00:00,0.2648047160626473,0.24814706930203484,0.2235028855680933,False,False,False,,,,0.05236207293421444,0.09606204656254541,0.5450859606673257,
o3-2025-04-16_low,axis2,5,False,False,False,True,True,2025-04-16 00:00:00,0.18633873217003857,0.12332767881578718,0.35627840052805054,False,False,False,,,,0.05236207293421444,0.09606204656254541,0.5450859606673257,
o3-2025-04-16_medium,axis1,38,False,False,False,True,True,2025-04-16 00:00:00,0.11120916736487825,0.12292832363931769,0.1862962178118531,False,False,False,,,,0.12553579082031624,0.0633365677595466,1.9820428428787802,
