,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_t_zerosum__[0, 332]",0.492362,0.090844,0.316092,0.658464,0.001137,0.001071,6373.961038,5432.022405,1.001003
"theta_t_zerosum__[0, 333]",-0.451441,0.188524,-0.811506,-0.110117,0.00194,0.002395,9567.025783,5872.834413,1.000117
"theta_t_zerosum__[0, 334]",0.096494,0.150071,-0.189725,0.367857,0.001797,0.001664,7151.38699,5982.230113,1.000568
"theta_t_zerosum__[0, 335]",0.644263,0.079973,0.497712,0.797849,0.00108,0.001056,5686.991854,4613.669107,1.000307
"theta_t_zerosum__[0, 336]",0.537983,0.079065,0.38513,0.681947,0.000994,0.000943,6397.910473,5497.722945,0.999998
"theta_t_zerosum__[0, 337]",0.717557,0.454742,-0.072334,1.576695,0.005064,0.006221,9324.563715,4955.348638,1.000558
"theta_t_zerosum__[0, 338]",-0.055327,0.328426,-0.66477,0.574873,0.003093,0.00398,11265.106022,5659.058106,1.001548
"theta_t_zerosum__[0, 339]",1.105524,0.082544,0.952494,1.261835,0.001418,0.001015,3480.099832,4155.581336,1.000798
"theta_t_zerosum__[0, 340]",1.512683,0.170172,1.192188,1.837079,0.00196,0.001975,7622.487483,5866.057356,1.000219
"theta_t_zerosum__[0, 341]",-0.940736,0.319793,-1.538997,-0.360272,0.003768,0.004003,7868.506842,5012.583029,1.000382
"theta_t_zerosum__[0, 342]",-0.981412,0.338055,-1.598525,-0.35116,0.003295,0.00419,11003.407344,5770.388422,1.000181
"theta_t_zerosum__[0, 343]",-0.364825,0.2842,-0.889112,0.160165,0.002724,0.00365,11299.541421,5794.924382,1.000825
"theta_t_zerosum__[0, 344]",0.130049,0.358076,-0.535404,0.759626,0.004255,0.005166,8196.118464,5201.545821,1.000237
"theta_t_zerosum__[0, 345]",0.241839,0.339361,-0.435587,0.825442,0.003719,0.004713,9660.64661,4885.124601,1.001275
"theta_t_zerosum__[0, 346]",-2.087925,0.21081,-2.475259,-1.687673,0.002279,0.002425,8585.762898,5848.611998,1.001222
"theta_t_zerosum__[0, 347]",-1.85643,0.215972,-2.243627,-1.432229,0.002275,0.002444,9012.202403,6024.850127,1.000771
"theta_t_zerosum__[0, 348]",-1.104849,0.262568,-1.61526,-0.623221,0.002646,0.004035,10843.986147,5101.894185,1.000209
"theta_t_zerosum__[0, 349]",-0.805719,0.291937,-1.360458,-0.269244,0.002754,0.003936,11870.774793,5161.540563,1.000086
"theta_t_zerosum__[0, 350]",-0.586279,0.24025,-1.077154,-0.166467,0.002577,0.002908,8801.820196,5982.392546,1.000738
"theta_t_zerosum__[0, 351]",-0.559274,0.347552,-1.215926,0.080459,0.004512,0.004958,6747.158756,4382.767706,1.000501
"theta_t_zerosum__[0, 352]",-1.624237,0.356892,-2.29787,-0.970684,0.003625,0.004525,10320.8384,5507.641828,1.000685
"theta_t_zerosum__[0, 353]",0.918289,0.149235,0.638028,1.192179,0.001648,0.001686,8272.33617,5742.035763,1.000303
"theta_t_zerosum__[0, 354]",1.252402,0.180393,0.90093,1.569644,0.001884,0.002148,9160.168589,5578.654689,1.00141
