name,mean,hdi_low,hdi_high,n_obs
High School Qualifier,139.134585846076,132.01008975591358,147.092948736909,1
Committee of Domain Experts,147.5376481345359,143.70747337024363,152.49604912421196,1
High School Top Performer,154.84626304455608,146.70752469867531,166.44008775021783,1
Domain Expert,157.19709113543405,150.2412865364973,166.99564075917527,4
