,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_zsn_t_zerosum__[0, 243]",0.993068,0.190449,0.637875,1.356994,0.001842,0.00237,10832.902472,5779.305335,1.000416
"theta_zsn_t_zerosum__[0, 244]",1.108157,0.375286,0.397603,1.813907,0.004052,0.004895,9053.433015,5381.130532,1.000345
"theta_zsn_t_zerosum__[0, 245]",0.997019,0.464929,0.123044,1.854633,0.004935,0.005992,10059.726017,5182.786181,1.000427
"theta_zsn_t_zerosum__[0, 246]",0.351394,0.449109,-0.409166,1.258615,0.005134,0.006383,8934.152433,4050.986968,1.001928
"theta_zsn_t_zerosum__[0, 247]",0.824633,0.462986,0.026309,1.768786,0.005158,0.006371,9144.880166,5046.666096,1.000171
"theta_zsn_t_zerosum__[0, 248]",-0.030553,0.282031,-0.586639,0.492925,0.002677,0.003619,11340.00714,5193.299559,1.000402
"theta_zsn_t_zerosum__[0, 249]",0.962213,0.225483,0.542307,1.388301,0.002467,0.002846,8385.990799,5597.705216,1.000428
"theta_zsn_t_zerosum__[0, 250]",1.099048,0.073013,0.962486,1.237197,0.001232,0.00091,3529.604576,4612.754671,1.000496
"theta_zsn_t_zerosum__[0, 251]",0.369753,0.275796,-0.134587,0.89066,0.002587,0.003384,11542.861979,6160.508737,1.000588
"theta_zsn_t_zerosum__[0, 252]",-0.151564,0.135467,-0.404948,0.104402,0.001782,0.002022,6184.444705,4199.39813,1.001501
"theta_zsn_t_zerosum__[0, 253]",-0.532177,0.155935,-0.822001,-0.245808,0.002975,0.002168,3013.023578,3927.647983,1.000567
"theta_zsn_t_zerosum__[0, 254]",0.566342,0.247304,0.08958,1.020938,0.002739,0.003745,8639.386177,5183.455731,1.000338
"theta_zsn_t_zerosum__[0, 255]",0.458805,0.086167,0.281542,0.604686,0.001212,0.001123,5344.642048,4392.022746,1.000019
"theta_zsn_t_zerosum__[0, 256]",0.348987,0.094955,0.177663,0.529641,0.001292,0.001464,6027.556749,3933.228713,1.00016
"theta_zsn_t_zerosum__[0, 257]",-0.278101,0.128605,-0.513706,-0.03667,0.001511,0.002037,7896.015695,4059.482024,1.000755
"theta_zsn_t_zerosum__[0, 258]",-1.003469,0.160468,-1.304864,-0.705279,0.002166,0.001894,5453.094832,5458.197781,1.000478
"theta_zsn_t_zerosum__[0, 259]",0.201615,0.356157,-0.462782,0.856907,0.003929,0.005235,9359.759287,5236.617374,1.001123
"theta_zsn_t_zerosum__[0, 260]",0.500026,0.469679,-0.372554,1.354367,0.006062,0.007011,7160.783146,4432.543804,1.000477
"theta_zsn_t_zerosum__[0, 261]",0.214974,0.334938,-0.418135,0.822489,0.003306,0.003952,10278.27373,6367.701546,1.000308
"theta_zsn_t_zerosum__[0, 262]",1.16694,0.157934,0.889441,1.483356,0.001971,0.001853,6535.589146,5065.696142,1.000312
"theta_zsn_t_zerosum__[0, 263]",1.336511,0.092475,1.166051,1.511488,0.001321,0.001168,5074.184468,4589.315634,1.000411
"theta_zsn_t_zerosum__[0, 264]",-0.150214,0.116957,-0.371045,0.06111,0.001652,0.001581,5463.022898,4902.785745,1.001085
"theta_zsn_t_zerosum__[0, 265]",1.613298,0.106172,1.421824,1.819686,0.001637,0.001273,4455.362451,4809.49271,1.000616
"theta_zsn_t_zerosum__[0, 266]",1.47704,0.195532,1.128276,1.856422,0.001929,0.002271,10278.344697,6307.090814,1.000172
"theta_zsn_t_zerosum__[0, 267]",0.287365,0.27753,-0.24393,0.801145,0.002847,0.003369,9540.428446,5915.362296,1.000066
"theta_zsn_t_zerosum__[0, 268]",1.112147,0.228964,0.695168,1.561115,0.002181,0.00272,11064.66825,6060.721244,1.000904
"theta_zsn_t_zerosum__[0, 269]",0.100315,0.236762,-0.35901,0.535598,0.002355,0.002891,10175.674149,5130.782359,1.001032
"theta_zsn_t_zerosum__[0, 270]",1.23237,0.187638,0.896245,1.602752,0.002132,0.002264,7810.072283,5881.847473,1.000902
"theta_zsn_t_zerosum__[0, 271]",1.424391,0.081474,1.2735,1.577116,0.001043,0.000922,6069.47017,5476.884806,0.99988
"theta_zsn_t_zerosum__[0, 272]",0.68183,0.261758,0.173079,1.156499,0.002549,0.003017,10611.420142,5854.883057,1.000408
"theta_zsn_t_zerosum__[0, 273]",0.100992,0.150708,-0.197684,0.3464,0.004023,0.002754,1531.556472,2406.567831,1.000704
"theta_zsn_t_zerosum__[0, 274]",1.327431,0.08641,1.159723,1.485018,0.001095,0.001036,6251.333819,5757.431607,1.000885
"theta_zsn_t_zerosum__[0, 275]",0.091919,0.258148,-0.403456,0.560146,0.003575,0.003577,5745.286026,3611.81009,1.001633
"theta_zsn_t_zerosum__[0, 276]",0.112336,0.140877,-0.162604,0.350112,0.003482,0.003479,1943.977873,2143.183827,1.00096
"theta_zsn_t_zerosum__[0, 277]",0.997557,0.367944,0.232064,1.629793,0.005118,0.00626,6170.159908,3649.450815,1.000797
"theta_zsn_t_zerosum__[0, 278]",1.190768,0.286074,0.635277,1.702186,0.003011,0.00358,9550.862824,5560.521397,1.000414
"theta_zsn_t_zerosum__[0, 279]",1.06086,0.509378,0.094195,2.019681,0.005801,0.006346,7837.228678,5856.590902,1.00036
"theta_zsn_t_zerosum__[0, 280]",1.661679,0.168105,1.359408,1.979761,0.001843,0.001887,8363.019333,6195.716845,1.00002
"theta_zsn_t_zerosum__[0, 281]",0.876843,0.25633,0.395272,1.367421,0.00242,0.002882,11226.744798,5932.093935,1.000483
"theta_zsn_t_zerosum__[0, 282]",1.67889,0.091251,1.507656,1.847003,0.001211,0.000987,5736.956367,6021.031853,1.000164
"theta_zsn_t_zerosum__[0, 283]",1.306668,0.276059,0.78429,1.819789,0.002856,0.003653,9832.486324,5609.968958,1.000204
"theta_zsn_t_zerosum__[0, 284]",0.018134,0.34793,-0.639101,0.649402,0.003472,0.003755,10080.361751,6658.877938,1.000894
"theta_zsn_t_zerosum__[0, 285]",1.619362,0.115439,1.402127,1.82907,0.001537,0.001425,5768.924546,5358.457708,1.000056
"theta_zsn_t_zerosum__[0, 286]",1.352934,0.360827,0.681654,2.051564,0.005291,0.006722,5347.725521,3174.081604,1.001139
"theta_zsn_t_zerosum__[0, 287]",1.513748,0.170248,1.188374,1.827444,0.001791,0.001849,9025.602046,6277.549147,1.00087
"theta_zsn_t_zerosum__[0, 288]",1.243333,0.229818,0.808188,1.671181,0.002149,0.002574,11435.275734,6680.939432,1.000296
"theta_zsn_t_zerosum__[0, 289]",0.35275,0.273028,-0.169831,0.860071,0.00269,0.003152,10267.659612,5978.539432,0.999921
"theta_zsn_t_zerosum__[0, 290]",1.507696,0.097851,1.331875,1.694722,0.001428,0.00109,4864.708522,4770.639119,1.000214
"theta_zsn_t_zerosum__[0, 291]",0.742677,0.35246,0.0925,1.39331,0.003926,0.004658,8734.070396,5037.037362,0.999916
"theta_zsn_t_zerosum__[0, 292]",-0.409997,0.342167,-1.035771,0.257743,0.003097,0.00434,12367.409196,5628.706917,1.000778
