axis,axis1,axis2,axis3,axis4
axis1,1.0,0.7854,0.9578,-0.8871
axis2,0.7854,1.0,0.82,-0.4899
axis3,0.9578,0.82,1.0,-0.894
axis4,-0.8871,-0.4899,-0.894,1.0
