scope,quantity,unit,median,frac_undefined,hdi50_low,hdi50_high,hdi80_low,hdi80_high
all,slope_leader,ECI-H / yr,27.750291464884462,0.0,27.117002243323157,28.43597464149022,26.529584809442056,28.981143520640682
public,slope_leader,ECI-H / yr,28.106694882503696,0.0,27.083706236253065,29.256939393335117,26.088651358572363,30.15815288587586
public,slope_leader_minus_all,ECI-H / yr,0.34148269615984717,0.0,-0.859051343393765,1.664705842904091,-1.9587811717878805,2.7314307785342624
semi_private,slope_leader,ECI-H / yr,24.1154983136652,0.0,23.28212411559264,25.027171305994386,22.48911815829224,25.760287672362555
semi_private,slope_leader_minus_all,ECI-H / yr,-3.645711052470764,0.0,-4.698036447806275,-2.544517430421175,-5.686287036478889,-1.5765905431275191
private,slope_leader,ECI-H / yr,23.884590371756506,0.0,22.13240776934855,25.762947514768225,20.492662944162518,27.265496066689543
private,slope_leader_minus_all,ECI-H / yr,-3.866344677243518,0.0,-5.761556688287188,-1.9653664545705052,-7.396956120494224,-0.27974990953865947
all,slope_follower,ECI-H / yr,16.689513117358107,0.0,15.879632483907354,17.576828492857288,15.10542284878556,18.26814491686558
public,slope_follower,ECI-H / yr,16.948823503749793,0.0,15.71046756032808,18.275496804569315,14.536296244100704,19.332220514604014
public,slope_follower_minus_all,ECI-H / yr,0.3204588420916039,0.0,-1.2812712014168608,1.8172931637854646,-2.655815910634387,3.1148681007295242
semi_private,slope_follower,ECI-H / yr,17.438347796815254,0.0,16.299063563581512,18.63923446398021,15.245757722311401,19.615400676522558
semi_private,slope_follower_minus_all,ECI-H / yr,0.7959706341156938,0.0,-0.6626917881862271,2.1685671811499483,-1.994124424943468,3.4024257331649888
private,slope_follower,ECI-H / yr,19.532672043304697,0.0,18.09583139061749,21.032032040280253,16.783909346302682,22.248231052926805
private,slope_follower_minus_all,ECI-H / yr,2.811681706937639,0.0,1.2001066769581898,4.543067499018809,-0.34191127749952654,6.063964586815272
all,slope_diff,ECI-H / yr,11.019724563625662,0.0,10.002257079414356,12.118467738164746,9.05792552115458,13.118223024397315
public,slope_diff,ECI-H / yr,11.19884977959679,0.0,9.479407794592092,12.850294561854238,8.039886259849972,14.30919892475558
