name,release_date,level_eci_median,lag_months_median,frac_undefined,frac_backcast,backcast,frac_censored,censored,first_leader_above,lag_hdi50_low,lag_hdi50_high,lag_hdi80_low,lag_hdi80_high
qwen2-72b-instruct,2024-06-07,116.50752239989154,17.268379448252745,0.0,0.64,True,0.0,False,gpt-4-0314 (64%); claude-3-opus-20240229 (20%); gpt-4-0613 (6%),3.3511293634510366,23.339871116194445,3.25256673511376,31.310247100687242
Llama-3.1-405B-Instruct,2024-07-23,121.7929599419641,4.763860369609574,0.0,0.141875,False,0.0,False,claude-3-opus-20240229 (53%); gpt-4o-2024-05-13 (17%); gpt-4-0314 (14%),3.449691991785585,4.763860369609574,2.332648870636149,17.952730715867993
DeepSeek-V3,2024-12-26,128.83102243376374,3.449691991785585,0.0,0.000625,False,0.0,False,o1-mini-2024-09-12_medium (49%); claude-3-5-sonnet-20240620 (32%); gpt-4o-2024-05-13 (9%),3.449691991785585,6.20944558521569,3.449691991785585,7.457905544147252
DeepSeek-R1,2025-01-20,135.90953751422117,4.271047227925919,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_medium (55%); o1-2024-12-17_high (22%); o1-preview-2024-09-12 (7%),1.5112936344985428,4.271047227925919,1.5112936344985428,4.271047227925919
Qwen3-32B,2025-04-29,140.0784417149995,2.891170431212231,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_medium (24%); gemini-2.5-pro-exp-03-25 (23%); o3-mini-2025-01-31_high (12%),1.149897330597014,7.523613963039679,0.657084188913359,7.523613963039679
Qwen3-235B-A22B-Thinking-2507,2025-07-25,141.77661378128715,4.008213552361667,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (34%); o3-mini-2025-01-31_high (14%); o1-mini-2024-09-12_medium (11%),4.008213552361667,7.622176591376956,3.2854209445586093,10.381930184804332
gpt-oss-120b_high,2025-08-05,145.5431571984814,3.876796714579541,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (32%); o3-2025-04-16_high (24%); gpt-5-2025-08-07_high (13%),3.646817248460138,4.369609856263196,-0.0657084188896988,4.566735112937749
kimi-k2.5,2026-01-27,146.83037801310167,9.396303901437022,0.0,0.0,False,0.0,False,o3-2025-04-16_high (28%); gemini-2.5-pro-exp-03-25 (24%); gpt-5-2025-08-07_high (18%),7.753593429159082,10.11909650924008,5.683778234087185,10.11909650924008
glm-5.1,2026-04-07,149.23103421562558,7.983572895278485,0.0,0.0,False,0.0,False,gpt-5-2025-08-07_high (56%); o3-2025-04-16_high (11%); grok-4-0709 (8%),7.983572895278485,11.696098562628322,7.983572895278485,11.926078028747725
kimi-k2.6,2026-04-20,154.3427873993509,8.410677618072441,0.0,0.0,False,0.0,False,gpt-5-2025-08-07_high (33%); gpt-5-pro-2025-10-06_unknown (25%); gpt-5-pro-2025-10-06_high (21%),8.410677618072441,8.410677618072441,5.026694045176555,8.410677618072441
glm-5.2_unknown,2026-06-16,160.94538138084062,4.303901437370769,0.0,0.0,False,0.0,False,gpt-5.2-pro-2025-12-11_xhigh (20%); gpt-5.5-pro_xhigh (14%); claude-opus-4-6_high (11%),3.383983572895886,6.143737166325991,1.774127310062795,10.283367556469784
kimi-k3_unknown,2026-07-16,166.61359051476924,2.759753593430105,0.000625,0.0,False,0.0,False,gpt-5.5-pro_xhigh (50%); claude-fable-5 (10%); gpt-5.4-pro-2026-03-05_xhigh (10%),2.759753593430105,2.759753593430105,1.2156057494867127,4.369609856263196
