name,release_date,level_eci_median,lag_months_median,frac_undefined,frac_backcast,backcast,frac_censored,censored,first_leader_above,lag_hdi50_low,lag_hdi50_high,lag_hdi80_low,lag_hdi80_high
gpt-j-6b,2021-08-05,74.20115244346417,-4.106776180698944,0.0,0.45875,False,0.0,False,Gopher (280B) (54%); davinci (46%),-4.106776180698944,16.9636987909048,-4.106776180698944,20.863248452228348
LLaMA-65B,2023-02-24,105.03111747496233,11.367556468171642,0.0,0.0,False,0.0,False,text-davinci-002 (50%); Gopher (280B) (24%); Chinchilla (70B) (13%),10.907597535932837,11.367556468171642,10.710472279261012,14.554414784392975
Llama-2-70b-hf,2023-07-18,111.58952803058762,4.139630390143793,0.0,0.0,False,0.0,False,gpt-4-0314 (47%); Chinchilla (70B) (20%); PaLM 540B (16%),4.139630390143793,15.638603696097562,4.139630390143793,16.098562628336367
internlm-20b,2023-09-18,111.87742674544171,6.17659137577084,0.0,0.0,False,0.0,False,gpt-4-0314 (38%); text-davinci-002 (17%); Chinchilla (70B) (14%),6.17659137577084,17.67556468172461,5.026694045176555,18.135523613963414
Yi-34B,2023-11-02,115.03625746227718,7.655030800821805,0.0,0.0,False,0.0,False,gpt-4-0314 (63%); Chinchilla (70B) (10%); PaLM 540B (10%),7.655030800821805,7.655030800821805,6.50513347022752,19.154004106775574
WizardLM-2-8x22B,2024-04-15,116.53371884116984,13.07597535934201,0.0,0.0,False,0.0,False,gpt-4-0314 (74%); claude-1.3 (7%); Chinchilla (70B) (6%),13.07597535934201,13.07597535934201,11.926078028747725,24.377823408623954
Phi-3-small-8k-instruct,2024-04-23,117.9566409768473,13.338809034906262,0.0,0.0,False,0.0,False,gpt-4-0314 (55%); claude-1.3 (9%); PaLM 2-L (6%),12.188911704311977,13.338809034906262,5.552361396302331,24.640657084188206
DeepSeek-V2,2024-05-07,122.13693641374401,11.893223819300147,0.0,0.0,False,0.0,False,gpt-4-0314 (37%); gpt-4-turbo (12%); PaLM 2-L (11%),6.012320328541136,13.798767967145068,-4.2053388090362205,13.798767967145068
Llama-3.1-405B,2024-07-23,130.21492406020116,-1.6755646817255183,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_high (23%); o1-2024-12-17 (17%); PaLM 2-L (12%),-1.6755646817255183,14.225872689939024,-4.435318275152895,14.245585215606233
DeepSeek-R1,2025-01-20,136.98040728090595,1.5112936344985428,0.0,0.0,False,0.0,False,o1-2024-12-17 (67%); o1-mini-2024-09-12_high (12%); o1-2024-12-17_high (9%),1.5112936344985428,1.5112936344985428,1.5112936344985428,4.271047227925919
DeepSeek-R1-0528,2025-05-28,141.2186877737539,5.716632443532035,0.0,0.0,False,0.0,False,o1-2024-12-17 (49%); o1-2024-12-17_high (19%); gemini-2.5-pro-exp-03-25 (8%),5.716632443532035,5.716632443532035,2.102669404516746,5.716632443532035
DeepSeek-V3.2-Exp,2025-09-29,141.86688326084652,9.79055441478613,0.0,0.0,False,0.0,False,o1-2024-12-17 (42%); o1-2024-12-17_high (14%); gemini-2.5-pro-exp-03-25 (8%),7.129363449693301,9.79055441478613,5.453798767967783,9.79055441478613
kimi-k2-thinking,2025-11-06,144.28731903920118,8.377823408624863,0.0,0.0,False,0.0,False,o1-2024-12-17 (30%); o3-2025-04-16_high (11%); o3-2025-04-16 (10%),6.702258726899345,11.039014373717691,5.519507186857481,11.039014373717691
deepseek-reasoner,2025-12-01,146.39029825071248,7.523613963039679,0.0,0.0,False,0.0,False,o1-2024-12-17 (18%); o3-2025-04-16_high (16%); o3-2025-04-16 (14%),7.523613963039679,11.860369609858026,5.716632443532035,11.860369609858026
kimi-k2.5,2026-01-27,147.88777840029283,9.396303901437022,0.0,0.0,False,0.0,False,o3-2025-04-16_high (18%); o3-2025-04-16 (16%); o3-pro-2025-06-10_high (15%),8.213552361395159,10.11909650924008,7.589322381929378,13.733059548255369
glm-5,2026-02-11,151.90944233918225,8.082135523613033,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (26%); o3-2025-04-16_high (10%); o3-2025-04-16 (10%),6.17659137577084,9.889117043120677,2.9897330595467793,9.889117043120677
glm-5.1,2026-04-07,152.13748363694359,9.889117043120677,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (24%); o3-2025-04-16 (10%); gpt-5-2025-08-07_thinking (9%),7.983572895278485,11.696098562628322,4.599589322382599,11.696098562628322
kimi-k2.6,2026-04-20,153.1855124923925,10.316221765914634,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (23%); gpt-5-2025-08-07_thinking (9%); o3-2025-04-16 (8%),8.410677618072441,10.940451745380415,5.026694045176555,12.123203285422278
deepseek-v4-pro_high,2026-04-24,156.72812458824254,5.355236139630506,0.0,0.0,False,0.0,False,o3-pro-2025-06-10_high (13%); gemini-3-pro-preview (11%); gpt-5-2025-08-07_thinking (8%),4.402464065710774,10.44763860369676,2.5626283367555516,12.254620123204404
glm-5.2_max,2026-06-16,158.20564642233313,6.899383983573898,0.0,0.0,False,0.0,False,claude-opus-4-6_high (12%); o3-pro-2025-06-10_high (11%); gemini-3-pro-preview (11%),5.511293634497633,10.283367556469784,4.303901437370769,12.188911704311977
kimi-k3_max,2026-07-16,162.6641306135138,5.289527720738079,0.0,0.0,False,0.0,False,claude-opus-4-6_high (23%); claude-opus-4-6 (14%); gemini-3-pro-preview (7%),5.289527720738079,7.885010266941208,4.8295687885020016,11.268993839837094
