model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
gpt-4.1-mini-2025-04-14,axis1,15,False,False,False,True,True,2025-04-14 00:00:00,-0.6764175447691835,-0.6674037374835156,0.20150737037521813,False,False,False,,,,0.016220695174288816,0.010819328407911532,1.4992330912543135,
gpt-4.1-mini-2025-04-14,axis2,15,False,False,False,True,True,2025-04-14 00:00:00,-0.11148744998835157,-0.11218004138250758,0.08583894995633876,False,False,False,,,,0.016220695174288816,0.010819328407911532,1.4992330912543135,
gpt-4.1-nano-2025-04-14,axis1,11,False,False,False,True,True,2025-04-14 00:00:00,-1.1787390929664328,-1.163992177775461,0.3185485846666958,False,False,False,,,,0.014156064780932159,0.009119344783303788,1.5523116098044547,
gpt-4.1-nano-2025-04-14,axis2,11,False,False,False,True,True,2025-04-14 00:00:00,-0.4834347606221952,-0.48473499940110326,0.10784724440444099,False,False,False,,,,0.014156064780932159,0.009119344783303788,1.5523116098044547,
gpt-4.5-preview-2025-02-27,axis1,33,False,False,False,False,True,2025-02-27 00:00:00,0.23145450385635777,0.23475680493737228,0.17994365547939978,False,False,False,,,,0.029225061749666652,0.03017036105704806,0.9686679484679028,
gpt-4.5-preview-2025-02-27,axis2,33,False,False,False,False,True,2025-02-27 00:00:00,-0.35107228890222886,-0.3517985056911558,0.0791097060417272,False,False,False,,,,0.029225061749666652,0.03017036105704806,0.9686679484679028,
gpt-4o,axis1,2,False,False,True,True,False,2024-05-13,-0.37514567520948916,-0.412578030755677,0.923633319616202,False,False,False,,,,0.038082716981840944,0.03492939254691009,1.0902771048965694,
gpt-4o,axis2,2,False,False,True,True,False,2024-05-13,-0.6880103782947189,-0.6909900248228824,0.5573696374703051,False,False,False,,,,0.038082716981840944,0.03492939254691009,1.0902771048965694,
gpt-4o-2024-05-13,axis1,9,False,False,False,True,False,2024-05-13 00:00:00,1.0883663259559337,1.0756137432626331,0.4024077074207145,False,False,False,,,,0.04312174321206055,0.021565136154958663,1.9996044959885488,
gpt-4o-2024-05-13,axis2,9,False,False,False,True,True,2024-05-13 00:00:00,-1.1304838111863023,-1.1267644571075275,0.10858116282131701,False,False,False,,,,0.04312174321206055,0.021565136154958663,1.9996044959885488,
gpt-4o-2024-08-06,axis1,31,False,False,False,True,True,2024-08-06 00:00:00,0.38668226535311717,0.38637498728173264,0.17715608410134787,False,False,False,,,,0.007191122476570389,0.014838878760997012,0.4846136013639904,
gpt-4o-2024-08-06,axis2,31,False,False,False,True,True,2024-08-06 00:00:00,-1.0169773575892518,-1.0155330629667332,0.08832340841926002,False,False,False,,,,0.007191122476570389,0.014838878760997012,0.4846136013639904,
gpt-4o-2024-11-20,axis1,25,False,False,False,True,True,2024-11-20 00:00:00,0.4055527904363686,0.4059948280996213,0.16450034217956347,False,False,False,,,,0.009204913091335497,0.021134471949510285,0.43554024502366556,
gpt-4o-2024-11-20,axis2,25,False,False,False,True,True,2024-11-20 00:00:00,-1.096995259802607,-1.0940869322536528,0.09483881137757165,False,False,False,,,,0.009204913091335497,0.021134471949510285,0.43554024502366556,
gpt-4o-audio-preview-2025-06-03,axis1,1,False,False,True,False,False,2025-06-03,-0.06279716692313365,-0.07687220616176263,0.9696266372922927,False,False,False,,,,0.03296658533539022,0.03671202773594259,0.8979777846243718,
gpt-4o-audio-preview-2025-06-03,axis2,1,False,False,True,False,False,2025-06-03,-0.25648152525843426,-0.2539957577652231,0.5231698300898154,False,False,False,,,,0.03296658533539022,0.03671202773594259,0.8979777846243718,
gpt-4o-mini-2024-07-18,axis1,21,False,False,False,True,True,2024-07-18 00:00:00,0.1379094699068113,0.13954496231809635,0.18037448910410922,False,False,False,,,,0.009116967883971677,0.01805293710548666,0.5050129976468396,
gpt-4o-mini-2024-07-18,axis2,21,False,False,False,True,True,2024-07-18 00:00:00,-1.2056577134149373,-1.19858935021159,0.10417862192975952,False,False,False,,,,0.009116967883971677,0.01805293710548666,0.5050129976468396,
gpt-4o-mini-audio-preview-2024-12-17,axis1,1,False,False,True,False,False,2024-12-17,-0.23715725734825302,-0.2620030923398078,1.0163127155015441,False,False,False,,,,0.0213189305903335,0.03229945775772633,0.6600398913890069,
gpt-4o-mini-audio-preview-2024-12-17,axis2,1,False,False,True,False,False,2024-12-17,-0.9049038543799038,-0.9153294704956703,0.55781232341778,False,False,False,,,,0.0213189305903335,0.03229945775772633,0.6600398913890069,
gpt-5-2025-08-07_high,axis1,24,False,True,False,True,True,2025-08-07 00:00:00,-0.01897451273287686,-0.01064845497945908,0.15105290106477362,False,False,False,,,,0.009516831387863873,0.015501833742607506,0.613916491808735,
gpt-5-2025-08-07_high,axis2,24,False,True,False,True,True,2025-08-07 00:00:00,0.8654737416867611,0.8631681244108602,0.08764317204062066,False,False,False,,,,0.009516831387863873,0.015501833742607506,0.613916491808735,
gpt-5-2025-08-07_low,axis1,5,False,False,False,True,False,2025-08-07 00:00:00,0.18400496656836626,0.1831110232373489,0.6627992916001658,False,False,False,,,,0.025750323641676107,0.057783519442008956,0.4456343935145541,
gpt-5-2025-08-07_low,axis2,5,False,False,False,True,False,2025-08-07 00:00:00,0.2952854438820596,0.29473042767585267,0.43234199734799633,False,False,False,,,,0.025750323641676107,0.057783519442008956,0.4456343935145541,
gpt-5-2025-08-07_medium,axis1,17,False,False,False,True,True,2025-08-07 00:00:00,0.013218649830419933,0.0143538596749036,0.17066554977227552,False,False,False,,,,0.007048754608783339,0.00969742055763156,0.7268690232513628,
gpt-5-2025-08-07_medium,axis2,17,False,False,False,True,True,2025-08-07 00:00:00,0.7280600952917275,0.7287422871843136,0.10180917084271257,False,False,False,,,,0.007048754608783339,0.00969742055763156,0.7268690232513628,
gpt-5-2025-08-07_minimal,axis1,8,False,False,False,True,True,2025-08-07 00:00:00,-0.5330559596875771,-0.5074566118041315,0.30935851439200757,False,False,False,,,,0.013922106865614795,0.010484851530412998,1.32783061593495,
gpt-5-2025-08-07_minimal,axis2,8,False,False,False,True,True,2025-08-07 00:00:00,-0.08844798311403537,-0.08959625851236672,0.09651221457919741,False,False,False,,,,0.013922106865614795,0.010484851530412998,1.32783061593495,
gpt-5-2025-08-07_unknown,axis1,15,False,True,False,True,True,2025-08-07 00:00:00,0.5577233929093423,0.5574411133198818,0.24703833181667298,False,False,False,,,,0.011954542678542804,0.010008222973091393,1.194472056696217,
gpt-5-2025-08-07_unknown,axis2,15,False,True,False,True,True,2025-08-07 00:00:00,0.6641677079638473,0.6670870196701162,0.14955696231329035,False,False,False,,,,0.011954542678542804,0.010008222973091393,1.194472056696217,
gpt-5-chat,axis1,1,False,False,True,True,False,2025-08-07,0.024242779917509644,0.022556116143674122,0.8530806504981536,False,False,False,,,,0.009324706416027756,0.028385887906479924,0.32849796514200685,
gpt-5-chat,axis2,1,False,False,True,True,False,2025-08-07,0.015947572805739916,0.019681993013593285,0.5965772883914059,False,False,False,,,,0.009324706416027756,0.028385887906479924,0.32849796514200685,
gpt-5-codex,axis1,2,False,False,True,True,False,2025-09-15 00:00:00,0.27305898642145066,0.25358301785219595,0.7674552556515006,False,False,False,,,,0.02018053969178699,0.05811563217349906,0.34724804561257766,
gpt-5-codex,axis2,2,False,False,True,True,False,2025-09-15 00:00:00,0.4265565998864362,0.4512869022239753,0.5810569073505969,False,False,False,,,,0.02018053969178699,0.05811563217349906,0.34724804561257766,
gpt-5-codex_high,axis1,2,False,False,True,True,False,2025-09-15 00:00:00,0.3443412193820039,0.36012255455854614,0.8634044542866111,False,False,False,,,,0.016938460932624782,0.04930733584969697,0.34352821219662144,
gpt-5-codex_high,axis2,2,False,False,True,True,False,2025-09-15 00:00:00,0.5250143566585851,0.5213595915674694,0.5885558495569255,False,False,False,,,,0.016938460932624782,0.04930733584969697,0.34352821219662144,
