,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
step3,0,7799.240670472882,2053.6487952711486,0.0,0.6821059101944513,74.6049205182429,0.0,True,log
step1,1,7626.23085849511,2469.7665703173625,173.00981197777227,0.2968227510458594,75.08526101651081,37.816277831783516,True,log
step2,2,7618.94794497855,2309.6090086874538,180.29272549433125,0.021071339675355256,72.70056171537199,32.49497270907726,True,log
stepx,3,7468.20217172238,1808.849380884074,331.0384987505013,0.0,76.82905160197146,24.740926568804063,True,log
step0,4,6273.991710320062,1175.6727853291968,1525.2489601528187,0.0,111.40588231020625,95.43979227560612,True,log
