benchmark,axis,category,gate_median,hdi_low,hdi_high,survived
SEAL Instruction Following,Agentic,Advanced Language and Writing,0.051660188513030905,2.1947101571525074e-05,1.0429552243163425,False
GSM8K,Knowledge,Domain Specific Questions,4.6301280122077975,1.2318329635531218,15.359433638549284,True
MATH Level 5,Knowledge,High End Math Reasoning,3.6120708480489974,1.873248168648901e-06,24.092686037889006,True
OTIS Mock AIME 2024-2025,Knowledge,High End Math Reasoning,3.435819025233381,1.9858845833599912e-07,12.29635028457261,True
MMLU Pro Chemistry,Knowledge,Chemistry,2.0649040772586833,3.006090594996642e-05,12.00584942747805,True
ARC (AI2),Knowledge,Domain Specific Questions,1.3992790793128311,0.38630230631053736,5.359090636045619,True
BIG-Bench Hard (BBH),Knowledge,Domain Specific Questions,1.0095615351690248,0.470592287917513,1.9526760084625767,True
OpenBookQA,Knowledge,Domain Specific Questions,0.9286475751036125,0.0034866113820432925,3.847838044535479,True
FrontierMath,Knowledge,High End Math Reasoning,0.9211706738354191,3.924218117883103e-06,2.3637535763146578,True
BoolQ,Knowledge,General Reasoning,0.7345880920906842,0.16909343316591513,3.6723562526982025,True
Aider Polyglot,Knowledge,Autonomous SWE,0.7160678585183307,7.0409885487489e-05,3.492515956996117,True
MMLU Chemistry,Knowledge,Chemistry,0.688434973946396,3.8098905232376996e-06,3.962036522776345,True
GPQA Diamond,Knowledge,Domain Specific Questions,0.6768792236353871,0.004437636217071751,1.6818644660645063,True
LiveBench,Knowledge,Core AGI Progress,0.529536601878265,0.008104969317651685,3.739116726353729,True
GPQA Main Chemistry,Knowledge,Chemistry,0.5293596710917924,1.1883559258964244e-05,1.4663091898696157,True
GPQA Diamond Chemistry,Knowledge,Chemistry,0.5151035323118063,7.390060370992124e-05,2.358044768541414,True
BioLP-bench,Knowledge,Biology,0.5085561218017725,2.7778306777638773e-06,1.989481157293011,True
VisualToolBench,Knowledge,Multimodal Understanding,0.5060849771564848,0.000993966715180264,1.2785298799534515,True
SimpleQA Verified,Knowledge,Domain Specific Questions,0.4997682366045354,0.043196738394468755,1.6128263685925983,True
Adversarial NLI,Knowledge,General Reasoning,0.49444398220531455,1.3628150578668027e-06,2.529751982231505,True
EnigmaEval,Knowledge,General Reasoning,0.4357311238245746,0.006875749355323777,1.8105279357471724,True
Humanity's Last Exam,Knowledge,Domain Specific Questions,0.4206559782113771,0.0023067057320056697,0.8276770993213108,True
MMLU Pro Biology,Knowledge,Biology,0.40880017289435233,1.881778718415505e-05,3.2881004876942104,True
CAD-Eval,Knowledge,Multimodal Understanding,0.39183948584079514,5.803105545711977e-06,2.974967230496371,True
Chess Puzzles,Knowledge,General Reasoning,0.3916791383606808,2.326238377644741e-05,1.1701716323507094,True
SuperGLUE,Knowledge,General Reasoning,0.3780313764256459,0.00022031608393016278,2.271876419418317,True
ScienceQA,Knowledge,Domain Specific Questions,0.35677209715877145,0.0023755015307372687,2.7786614151546623,True
Cybench,Knowledge,Agentic Computer Use,0.33765216408386056,1.555339505670304e-05,2.504545690391076,True
SWE-Bench Pro (Private),Knowledge,Autonomous SWE,0.3336718916261119,1.012920031795573e-06,1.9426267255359981,True
HellaSwag,Knowledge,General Reasoning,0.3151425406407965,0.03060851454056255,1.2609726919948372,True
MultiNRC,Knowledge,Advanced Language and Writing,0.3114943112371964,0.04217717329211668,1.1663440145260997,True
BALROG,Knowledge,General Reasoning,0.30715868149453796,0.00015397286727147975,2.0275579041782197,True
Remote Labor Index,Knowledge,Core AGI Progress,0.29129489236477973,7.279982229347543e-07,1.3167468726035916,True
SWE-Bench Pro,Knowledge,Autonomous SWE,0.2891194392997657,1.2502708061627815e-05,1.5895434019374926,True
PostTrainBench,Knowledge,Autonomous SWE,0.2875149881471152,3.759019950083406e-05,1.471407258321462,True
CSQA2,Knowledge,General Reasoning,0.2792834505406282,3.0709462672305436e-05,2.032068072452671,True
TriviaQA,Knowledge,Domain Specific Questions,0.2760976205887462,0.01459209240749715,1.9358424312082223,True
GSO-Bench,Knowledge,Autonomous SWE,0.2661177967010844,2.4591733090555435e-06,1.4806644123478436,True
VPCT,Knowledge,Multimodal Understanding,0.2466026894474234,9.444438658501161e-06,1.3808297621932002,True
AudioMultiChallenge,Knowledge,Multimodal Understanding,0.24535405022350454,5.582289450177498e-06,1.4021418390239224,True
APEX Agents,Knowledge,Core AGI Progress,0.22727483132656498,0.00015393651758479823,1.4791885585679372,True
MMLU Biology,Knowledge,Biology,0.22303077077137634,7.34035927743523e-05,2.520909188858217,True
The Agent Company,Knowledge,Agentic Computer Use,0.2194813483417792,2.2726460383406323e-05,1.9277218771246987,True
Fiction.LiveBench,Knowledge,Advanced Language and Writing,0.21093392390713508,1.0205759340387845e-05,1.8360750944845177,True
LAB-Bench Cloning,Knowledge,Biology,0.20319717535677626,0.0013952382504599208,1.5584909378720617,True
GPQA Diamond Biology,Knowledge,Biology,0.19482496590259568,4.2444064634518815e-05,2.0264077333492403,False
GPQA Main Biology,Knowledge,Biology,0.18871533767675913,5.6459590541899265e-05,1.2070711996453956,False
GeoBench,Knowledge,Multimodal Understanding,0.18281357045203334,9.466890847477382e-07,1.5413643640424792,False
SimpleBench,Knowledge,General Reasoning,0.17730374251810307,7.567100428733436e-05,1.685949233557748,False
WinoGrande,Knowledge,General Reasoning,0.17680189763956974,0.07900680146001997,0.32039225550184974,False
LAB-Bench SeqQA,Knowledge,Biology,0.16499973416063318,0.00021007258073515824,0.9634523441071369,False
MCP Atlas,Knowledge,Agentic Computer Use,0.16167989521721926,0.00014425305905570217,1.5493004817983975,False
ARC-AGI,Knowledge,Core AGI Progress,0.1607970155060255,3.976650996341991e-06,1.6579654048535302,False
TerminalBench,Knowledge,Agentic Computer Use,0.16071933998703242,6.674297588404574e-05,1.9870437144174133,False
Visual Task Assessment (VISTA),Knowledge,Multimodal Understanding,0.160121313983969,0.009869777330155097,1.2010064388711545,False
